n,sample,running_mean
1,5.9934,5.9934
2,4.7235,5.3584
3,6.2954,5.6708
4,8.0461,6.2646
5,4.5317,5.9180
6,4.5317,5.6870
7,8.1584,6.0400
8,6.5349,6.1019
9,4.0611,5.8751
10,6.0851,5.8961
11,4.0732,5.7304
12,4.0685,5.5919
13,5.4839,5.5836
14,1.1734,5.2686
15,1.5502,5.0207
16,3.8754,4.9491
17,2.9743,4.8330
18,5.6285,4.8772
19,3.1840,4.7880
20,2.1754,4.6574
21,7.9313,4.8133
22,4.5484,4.8013
23,5.1351,4.8158
24,2.1505,4.7047
25,3.9112,4.6730
26,5.2218,4.6941
27,2.6980,4.6202
28,5.7514,4.6606
29,3.7987,4.6308
30,4.4166,4.6237
31,3.7966,4.5970
32,8.7046,4.7254
33,4.9730,4.7329
34,2.8846,4.6785
35,6.6451,4.7347
36,2.5583,4.6743
37,5.4177,4.6944
38,1.0807,4.5993
39,2.3436,4.5414
40,5.3937,4.5627
41,6.4769,4.6094
42,5.3427,4.6269
43,4.7687,4.6302
44,4.3978,4.6249
45,2.0430,4.5675
46,3.5603,4.5456
47,4.0787,4.5357
48,7.1142,4.5894
49,5.6872,4.6118
50,1.4739,4.5491
51,5.6482,4.5706
52,4.2298,4.5641
53,3.6462,4.5467
54,6.2234,4.5778
55,7.0620,4.6229
56,6.8626,4.6629
57,3.3216,4.6394
58,4.3816,4.6350
59,5.6625,4.6524
60,6.9511,4.6907
61,4.0417,4.6801
62,4.6287,4.6792
63,2.7873,4.6492
64,2.6076,4.6173
65,6.6251,4.6482
66,7.7125,4.6946
67,4.8560,4.6970
68,7.0071,4.7310
69,5.7233,4.7454
70,3.7098,4.7306
71,5.7228,4.7446
72,8.0761,4.7908
73,4.9283,4.7927
74,8.1293,4.8378
75,-0.2395,4.7701
76,6.6438,4.7948
77,5.1741,4.7997
78,4.4020,4.7946
79,5.1835,4.7995
80,1.0249,4.7523
81,4.5607,4.7500
82,5.7142,4.7617
83,7.9558,4.8002
84,3.9635,4.7902
85,3.3830,4.7737
86,3.9965,4.7646
87,6.8308,4.7884
88,5.6575,4.7983
89,3.9405,4.7886
90,6.0265,4.8024
91,5.1942,4.8067
92,6.9373,4.8298
93,3.5959,4.8166
94,4.3447,4.8116
95,4.2158,4.8053
96,2.0730,4.7768
97,5.5922,4.7852
98,5.5221,4.7928
99,5.0102,4.7949
100,4.5308,4.7923
101,2.1693,4.7663
102,4.1587,4.7604
103,4.3146,4.7561
104,3.3954,4.7430
105,4.6774,4.7423
106,5.8081,4.7524
107,8.7724,4.7900
108,5.3492,4.7951
109,5.5151,4.8018
110,4.8511,4.8022
111,1.1625,4.7694
112,4.9470,4.7710
113,5.1205,4.7741
114,9.9265,4.8193
115,4.6153,4.8175
116,5.6031,4.8243
117,4.9306,4.8252
118,2.6626,4.8069
119,7.2856,4.8277
120,6.5039,4.8417
121,6.5821,4.8560
122,3.1812,4.8423
123,7.8056,4.8664
124,2.1963,4.8449
125,6.1737,4.8555
126,9.3809,4.8914
127,3.0189,4.8767
128,3.8674,4.8688
129,5.1993,4.8714
130,3.9930,4.8646
131,1.8987,4.8420
132,5.1371,4.8442
133,2.8754,4.8294
134,5.9472,4.8377
135,3.1612,4.8253
136,8.0999,4.8494
137,3.4335,4.8391
138,4.3559,4.8356
139,6.6270,4.8484
140,2.5383,4.8319
141,5.4549,4.8364
142,7.6143,4.8559
143,1.7850,4.8344
144,5.3693,4.8382
145,5.5198,4.8429
146,6.5636,4.8547
147,2.5261,4.8388
148,2.3591,4.8221
