i,x,y_neg
0,4.8524,-3.9135
1,6.8188,-2.6032
2,0.2029,-0.3842
3,4.1259,-3.6092
4,1.6987,-0.2145
5,2.0257,-2.5632
6,1.8152,-1.0469
7,1.2720,-0.7769
8,3.0970,-0.2294
9,1.3381,-0.0908
10,3.5409,-2.1621
11,2.8995,-0.5131
12,2.5221,0.5720
13,1.1849,0.1258
14,1.8465,-1.0923
15,4.5108,-4.6742
16,4.0018,-3.9988
17,1.0449,-1.0848
18,3.1987,-2.8335
19,4.5028,-2.9821
20,-0.3388,0.2883
21,4.0867,-1.6575
22,1.6748,-1.1106
23,4.1412,-1.7550
24,1.4735,-0.7874
25,-0.6098,-2.5973
26,-0.2551,-1.2560
27,3.0962,-2.0738
28,3.5194,-3.9262
29,1.1914,0.1851
30,4.2772,-0.2702
31,-0.3230,2.0220
32,2.8678,-2.0409
33,0.5780,1.8893
34,1.6963,-0.7948
35,3.0948,-2.3625
36,1.2792,-1.6876
37,2.2309,-1.7922
38,5.0126,-3.5898
39,1.8462,-0.8521
40,4.6714,-2.5620
41,0.7406,-0.4398
42,4.0596,-1.7804
43,5.8831,-1.7439
44,-1.9433,2.5903
45,1.4062,-3.0711
46,4.1541,-6.3234
47,2.5939,-0.1549
48,3.7423,-4.2957
49,1.7920,-1.4124
50,3.1732,-3.6591
51,2.6886,-4.3162
52,5.3356,-2.3891
53,3.5088,-0.9666
54,3.6752,-3.0699
55,2.1762,-5.1923
56,2.0248,-2.0342
57,2.1349,-0.6932
58,3.7889,-4.4917
59,2.1580,-1.0198
60,3.5795,-2.1707
61,7.1508,-3.4215
62,4.7422,-2.6660
63,2.3480,-2.8684
64,5.4024,-1.4466
65,2.1838,-1.5481
66,-1.0762,0.6048
67,0.9838,-1.9902
68,-0.7416,-0.2200
69,2.2970,-2.7054
70,3.0368,-2.0815
71,6.3529,-1.2442
72,3.6539,-4.2502
73,2.5618,-3.9574
74,4.6588,-0.5885
75,-1.4223,0.5394
76,3.4712,-3.0863
77,4.5417,-1.1652
78,0.0428,-0.9341
79,5.2875,-0.4335
80,3.6770,-1.1893
81,2.1694,-2.0335
82,4.2656,0.6766
83,7.5414,-5.4334
84,3.3637,-0.9051
85,3.4964,-1.6489
86,2.0813,0.7038
87,1.3003,1.5621
88,4.6607,-2.7484
89,1.2878,-1.9028
90,3.1431,-1.1959
91,2.0447,-2.2434
92,3.9580,0.6453
93,3.6673,-1.9956
94,5.0751,-3.5930
95,1.9800,-0.9110
96,2.4603,-3.4968
97,1.0425,-2.0829
98,2.1114,0.5338
99,3.7546,-3.2381
100,4.5140,-4.2788
101,1.1557,0.1116
102,4.7392,-1.0650
103,5.7113,-2.3483
104,3.8269,-0.8021
105,6.7536,-5.1873
106,1.4524,-3.0042
107,0.5107,1.9456
108,-0.5574,-0.1496
109,5.9921,-3.9715
110,4.3087,-0.5929
111,2.8888,-0.8990
112,3.5599,-1.4521
113,0.7490,2.7981
114,7.8915,-5.7002
115,3.2584,-0.5633
116,3.2188,-1.8458
117,4.4515,-2.2680
118,3.9620,-0.0845
119,3.4478,-1.3069
120,1.4191,-0.0440
121,3.9429,-0.7570
122,6.7640,-4.6059
123,5.6908,-4.6733
124,6.1864,-5.2790
125,1.9776,-4.1361
126,1.0208,2.4718
127,2.7484,-3.3039
128,3.1114,-2.1988
129,5.1884,-3.5282
130,-0.3849,0.6921
131,6.0591,-2.4119
132,2.6840,-0.3197
133,2.1462,-2.1624
134,0.9758,-0.8362
135,-0.3097,0.6097
136,4.6463,-3.1608
137,3.1466,0.5230
138,0.4201,0.4844
139,0.4098,0.8564
140,2.3284,-0.4027
141,6.3380,-2.0426
142,2.4808,-1.2170
143,-0.0063,-1.9415
144,2.5085,-0.9056
145,2.4546,-2.4498
146,-2.3938,0.6433
147,2.8914,-0.8553
148,2.5381,0.3345
149,4.3924,-2.6035
150,6.6979,-3.5555
151,5.2531,-0.5986
152,2.4622,-1.1162
153,0.7869,3.4304
154,8.1467,-4.0398
155,3.1184,-4.5122
156,3.0279,-0.6867
157,2.9517,-1.1993
158,3.3962,-0.1031
159,2.7113,-0.6170
160,1.8527,-1.3193
161,1.9063,-2.9802
162,2.9345,-2.0742
163,1.9132,-2.4237
164,1.5743,-1.8154
165,3.2129,-1.0448
166,2.4900,1.0108
167,6.0080,-3.0128
168,-2.3019,-0.4127
169,5.1830,-2.4429
170,5.4922,-1.5004
171,-1.1468,-0.2266
172,2.3146,-1.5898
173,2.2571,-1.3322
174,0.1850,-1.2883
175,1.4444,0.1058
176,0.7788,-0.6487
177,6.5045,-3.2734
178,4.8714,-4.2541
179,5.5431,-3.9821
180,4.4433,-1.5824
181,0.7419,-1.0044
182,1.9510,1.4199
183,3.9787,-2.9867
184,0.5557,0.0036
185,4.4260,-1.2567
186,2.5193,-3.6392
187,2.2504,-3.9914
188,4.4219,-4.9416
189,3.8885,-0.4392
