i,x,y_pos
0,4.8524,4.4349
1,6.8188,4.8651
2,0.2029,0.2054
3,4.1259,5.2184
4,1.6987,1.6456
5,2.0257,1.6903
6,1.8152,-0.5876
7,1.2720,2.1370
8,3.0970,3.4459
9,1.3381,4.3154
10,3.5409,2.3711
11,2.8995,2.6483
12,2.5221,2.3918
13,1.1849,3.3141
14,1.8465,1.3342
15,4.5108,4.0272
16,4.0018,4.1133
17,1.0449,1.1158
18,3.1987,1.8893
19,4.5028,3.8934
20,-0.3388,1.3394
21,4.0867,1.7296
22,1.6748,1.5393
23,4.1412,2.2628
24,1.4735,2.9714
25,-0.6098,-2.7726
26,-0.2551,-1.0425
27,3.0962,3.0428
28,3.5194,5.1638
29,1.1914,0.8545
30,4.2772,2.5889
31,-0.3230,2.5633
32,2.8678,0.1223
33,0.5780,-2.8358
34,1.6963,2.0171
35,3.0948,1.7228
36,1.2792,-0.5085
37,2.2309,2.8472
38,5.0126,4.3758
39,1.8462,0.6309
40,4.6714,1.8167
41,0.7406,1.9012
42,4.0596,4.2230
43,5.8831,4.5577
44,-1.9433,1.2153
45,1.4062,-0.4802
46,4.1541,1.0350
47,2.5939,1.0373
48,3.7423,2.9255
49,1.7920,1.7986
50,3.1732,2.1767
51,2.6886,2.6790
52,5.3356,2.3911
53,3.5088,4.9727
54,3.6752,2.8169
55,2.1762,3.4169
56,2.0248,2.1339
57,2.1349,2.3930
58,3.7889,3.8858
59,2.1580,2.3980
60,3.5795,3.8277
61,7.1508,7.7144
62,4.7422,4.0886
63,2.3480,2.9419
64,5.4024,4.1873
65,2.1838,3.9073
66,-1.0762,-1.8756
67,0.9838,3.4885
68,-0.7416,-0.6535
69,2.2970,-0.3086
70,3.0368,2.6216
71,6.3529,4.0607
72,3.6539,4.1840
73,2.5618,1.0705
74,4.6588,3.0578
75,-1.4223,-3.9721
76,3.4712,2.0985
77,4.5417,-0.0024
78,0.0428,-2.3416
79,5.2875,5.3706
80,3.6770,4.1203
81,2.1694,2.3737
82,4.2656,1.9620
83,7.5414,5.9615
84,3.3637,2.6856
85,3.4964,1.0596
86,2.0813,3.9201
87,1.3003,2.3563
88,4.6607,3.3971
89,1.2878,1.0706
90,3.1431,2.8271
91,2.0447,-1.4269
92,3.9580,2.7956
93,3.6673,1.9109
94,5.0751,2.5576
95,1.9800,1.1623
96,2.4603,4.6647
97,1.0425,1.7952
98,2.1114,0.8324
99,3.7546,3.8626
100,4.5140,5.7102
101,1.1557,2.3115
102,4.7392,3.8808
103,5.7113,3.5986
104,3.8269,4.1088
105,6.7536,5.9931
106,1.4524,2.5047
107,0.5107,1.3613
108,-0.5574,1.1284
109,5.9921,3.9908
110,4.3087,5.4231
111,2.8888,2.6075
112,3.5599,5.9608
113,0.7490,-0.4346
114,7.8915,8.9171
115,3.2584,2.9036
116,3.2188,1.5979
117,4.4515,2.8354
118,3.9620,2.6891
119,3.4478,3.3945
120,1.4191,1.9195
121,3.9429,2.2938
122,6.7640,5.3747
123,5.6908,7.7661
124,6.1864,7.5404
125,1.9776,2.2365
126,1.0208,0.8736
127,2.7484,2.3788
128,3.1114,3.4094
129,5.1884,2.6165
130,-0.3849,-0.6940
131,6.0591,2.3444
132,2.6840,2.7460
133,2.1462,2.6878
134,0.9758,0.0559
135,-0.3097,2.1132
136,4.6463,1.8784
137,3.1466,0.3207
138,0.4201,0.6727
139,0.4098,1.8985
140,2.3284,4.3886
141,6.3380,4.3821
142,2.4808,3.6027
143,-0.0063,-0.0628
144,2.5085,1.7479
145,2.4546,3.2891
146,-2.3938,-0.9365
