i,y_neg,y_pos
0,-3.9135,4.4349
1,-2.6032,4.8651
2,-0.3842,0.2054
3,-3.6092,5.2184
4,-0.2145,1.6456
5,-2.5632,1.6903
6,-1.0469,-0.5876
7,-0.7769,2.1370
8,-0.2294,3.4459
9,-0.0908,4.3154
10,-2.1621,2.3711
11,-0.5131,2.6483
12,0.5720,2.3918
13,0.1258,3.3141
14,-1.0923,1.3342
15,-4.6742,4.0272
16,-3.9988,4.1133
17,-1.0848,1.1158
18,-2.8335,1.8893
19,-2.9821,3.8934
20,0.2883,1.3394
21,-1.6575,1.7296
22,-1.1106,1.5393
23,-1.7550,2.2628
24,-0.7874,2.9714
25,-2.5973,-2.7726
26,-1.2560,-1.0425
27,-2.0738,3.0428
28,-3.9262,5.1638
29,0.1851,0.8545
30,-0.2702,2.5889
31,2.0220,2.5633
32,-2.0409,0.1223
33,1.8893,-2.8358
34,-0.7948,2.0171
35,-2.3625,1.7228
36,-1.6876,-0.5085
37,-1.7922,2.8472
38,-3.5898,4.3758
39,-0.8521,0.6309
40,-2.5620,1.8167
41,-0.4398,1.9012
42,-1.7804,4.2230
43,-1.7439,4.5577
44,2.5903,1.2153
45,-3.0711,-0.4802
46,-6.3234,1.0350
47,-0.1549,1.0373
48,-4.2957,2.9255
49,-1.4124,1.7986
50,-3.6591,2.1767
51,-4.3162,2.6790
52,-2.3891,2.3911
53,-0.9666,4.9727
54,-3.0699,2.8169
55,-5.1923,3.4169
56,-2.0342,2.1339
57,-0.6932,2.3930
58,-4.4917,3.8858
59,-1.0198,2.3980
60,-2.1707,3.8277
61,-3.4215,7.7144
62,-2.6660,4.0886
63,-2.8684,2.9419
64,-1.4466,4.1873
65,-1.5481,3.9073
66,0.6048,-1.8756
67,-1.9902,3.4885
68,-0.2200,-0.6535
69,-2.7054,-0.3086
70,-2.0815,2.6216
71,-1.2442,4.0607
72,-4.2502,4.1840
73,-3.9574,1.0705
74,-0.5885,3.0578
75,0.5394,-3.9721
76,-3.0863,2.0985
77,-1.1652,-0.0024
78,-0.9341,-2.3416
79,-0.4335,5.3706
80,-1.1893,4.1203
81,-2.0335,2.3737
82,0.6766,1.9620
83,-5.4334,5.9615
84,-0.9051,2.6856
85,-1.6489,1.0596
86,0.7038,3.9201
87,1.5621,2.3563
88,-2.7484,3.3971
89,-1.9028,1.0706
90,-1.1959,2.8271
91,-2.2434,-1.4269
92,0.6453,2.7956
93,-1.9956,1.9109
94,-3.5930,2.5576
95,-0.9110,1.1623
96,-3.4968,4.6647
97,-2.0829,1.7952
98,0.5338,0.8324
99,-3.2381,3.8626
100,-4.2788,5.7102
101,0.1116,2.3115
102,-1.0650,3.8808
103,-2.3483,3.5986
104,-0.8021,4.1088
105,-5.1873,5.9931
106,-3.0042,2.5047
107,1.9456,1.3613
108,-0.1496,1.1284
109,-3.9715,3.9908
110,-0.5929,5.4231
111,-0.8990,2.6075
112,-1.4521,5.9608
113,2.7981,-0.4346
114,-5.7002,8.9171
115,-0.5633,2.9036
116,-1.8458,1.5979
117,-2.2680,2.8354
118,-0.0845,2.6891
119,-1.3069,3.3945
120,-0.0440,1.9195
121,-0.7570,2.2938
122,-4.6059,5.3747
123,-4.6733,7.7661
124,-5.2790,7.5404
125,-4.1361,2.2365
126,2.4718,0.8736
127,-3.3039,2.3788
128,-2.1988,3.4094
129,-3.5282,2.6165
130,0.6921,-0.6940
131,-2.4119,2.3444
132,-0.3197,2.7460
133,-2.1624,2.6878
134,-0.8362,0.0559
135,0.6097,2.1132
136,-3.1608,1.8784
137,0.5230,0.3207
138,0.4844,0.6727
139,0.8564,1.8985
140,-0.4027,4.3886
141,-2.0426,4.3821
142,-1.2170,3.6027
143,-1.9415,-0.0628
144,-0.9056,1.7479
145,-2.4498,3.2891
146,0.6433,-0.9365
147,-0.8553,-0.0515
148,0.3345,4.2453
149,-2.6035,5.5841
150,-3.5555,4.4200
151,-0.5986,4.7962
152,-1.1162,2.7108
153,3.4304,1.0206
154,-4.0398,5.6919
155,-4.5122,1.4873
156,-0.6867,2.3840
157,-1.1993,4.1205
158,-0.1031,3.5323
159,-0.6170,1.6131
160,-1.3193,2.6397
161,-2.9802,-2.7478
162,-2.0742,4.0707
163,-2.4237,-1.0791
164,-1.8154,0.7158
165,-1.0448,0.8908
166,1.0108,0.0500
167,-3.0128,6.5476
168,-0.4127,-2.5431
169,-2.4429,4.6662
170,-1.5004,4.3234
171,-0.2266,-0.2019
172,-1.5898,1.9669
173,-1.3322,-0.1188
174,-1.2883,1.6424
175,0.1058,0.4149
176,-0.6487,-1.7118
177,-3.2734,4.5615
178,-4.2541,6.1482
179,-3.9821,5.7098
180,-1.5824,3.0317
181,-1.0044,0.0696
182,1.4199,1.0783
183,-2.9867,6.2981
184,0.0036,1.0175
185,-1.2567,4.1859
186,-3.6392,3.5609
187,-3.9914,2.1585
188,-4.9416,3.1490
189,-0.4392,2.8163
190,-2.1946,1.7151
191,0.6461,4.1991
192,-1.3491,1.7617
193,-2.2623,3.4634
194,-0.1986,4.4479
195,1.5806,1.7837
196,0.9009,3.0398
197,1.5139,-2.5991
198,-1.3727,5.2529
199,-0.6893,2.6239
200,-0.0052,3.0607
201,-3.8856,-0.2660
202,-2.1821,4.4056
203,-0.1149,-0.0629
204,-0.1873,1.5717
205,-3.2071,1.8098
206,0.7811,1.2705
207,-2.4728,3.6275
208,0.8309,-1.8667
209,-1.6195,7.9854
210,-3.7658,2.4516
211,-1.9744,2.5714
212,-2.2213,2.8332
213,-5.0788,3.7821
214,-1.8789,2.5654
215,-3.3066,4.7127
216,0.3331,6.1879
217,-1.0341,2.5541
218,-2.8999,2.1199
219,1.0495,3.8849
220,-0.3378,4.5508
221,1.1253,1.4443
222,-0.5219,1.2010
223,-4.1311,1.8747
224,-2.5633,5.1235
225,0.0539,0.3861
226,1.0048,2.8834
227,0.0978,1.8247
228,-1.8856,1.4402
229,-2.5455,1.6479
230,-1.8237,3.1954
231,-3.2786,1.4675
232,-1.8052,5.4738
233,0.0217,0.3562
234,-3.7340,3.6804
235,-4.7592,4.6023
236,-1.3368,4.5939
237,-3.7783,2.1309
238,-5.5534,5.9609
239,-7.3256,5.0748
240,0.3678,-0.9917
241,2.3939,2.4162
242,1.4417,1.1752
243,-2.5170,2.6301
244,-3.3245,2.9686
245,-0.2259,1.2622
246,-3.5217,1.0544
247,-0.4409,-0.9687
248,0.0829,3.8133
249,1.7284,-1.1211
250,-0.8424,-0.5643
251,-0.4835,-2.9928
252,-1.9459,-0.1198
253,-4.3047,2.1012
254,-1.0004,3.3440
255,-4.4078,8.1265
256,-1.0216,2.1571
257,-3.2266,6.0744
258,1.4691,2.4993
259,-3.0471,3.0332
260,-1.1413,-2.2701
261,-3.0672,6.0316
262,-8.5085,4.4118
263,-0.3587,-0.2218
264,-2.0739,5.7727
265,-1.3782,4.9345
266,-1.6575,4.4204
267,-3.1511,6.0791
268,-3.3915,2.2890
269,-4.7685,6.5800
270,-1.4579,4.6708
271,-3.0065,1.9218
272,-2.1186,3.5682
273,-5.0019,3.8622
274,-1.8465,2.2639
275,0.0308,-0.5334
276,-3.3501,-1.3029
277,0.2441,1.8565
278,-2.8126,0.7980
279,-3.7602,1.7377
280,-1.7124,2.9542
281,1.5254,2.3515
282,-3.7800,4.3858
283,-2.4402,1.0212
284,-1.8285,1.8112
285,-2.0573,5.5404
286,-2.5360,2.2605
287,-2.9016,2.7977
288,-2.9572,3.1128
289,0.3224,-1.7101
290,-3.9238,3.2455
291,-6.4313,0.7313
292,-1.4711,1.9325
293,1.0880,0.8369
294,-4.0471,-1.7192
295,-4.5784,4.7458
296,-0.8238,2.3073
297,0.4684,4.3191
298,-1.8028,2.7812
299,-2.9277,4.4938
300,-3.2003,4.0891
301,0.8816,0.9302
302,-2.8843,2.7372
303,-2.4441,2.4753
304,-2.0027,1.7781
305,-2.8590,1.9662
