x,p(x)
-8.000,0.0000
-7.950,0.0000
-7.900,0.0000
-7.850,0.0000
-7.799,0.0000
-7.749,0.0000
-7.699,0.0000
-7.649,0.0000
-7.599,0.0000
-7.549,0.0000
-7.499,0.0000
-7.449,0.0000
-7.398,0.0000
-7.348,0.0000
-7.298,0.0000
-7.248,0.0000
-7.198,0.0000
-7.148,0.0000
-7.098,0.0000
-7.048,0.0000
-6.997,0.0000
-6.947,0.0000
-6.897,0.0000
-6.847,0.0000
-6.797,0.0000
-6.747,0.0000
-6.697,0.0000
-6.647,0.0000
-6.596,0.0000
-6.546,0.0000
-6.496,0.0000
-6.446,0.0000
-6.396,0.0000
-6.346,0.0000
-6.296,0.0000
-6.246,0.0000
-6.195,0.0000
-6.145,0.0000
-6.095,0.0000
-6.045,0.0000
-5.995,0.0000
-5.945,0.0000
-5.895,0.0000
-5.845,0.0000
-5.794,0.0000
-5.744,0.0000
-5.694,0.0000
-5.644,0.0000
-5.594,0.0000
-5.544,0.0000
-5.494,0.0000
-5.444,0.0000
-5.393,0.0000
-5.343,0.0000
-5.293,0.0000
-5.243,0.0000
-5.193,0.0000
-5.143,0.0000
-5.093,0.0000
-5.043,0.0000
-4.992,0.0000
-4.942,0.0000
-4.892,0.0000
-4.842,0.0000
-4.792,0.0000
-4.742,0.0000
-4.692,0.0000
-4.642,0.0000
-4.591,0.0000
-4.541,0.0000
-4.491,0.0000
-4.441,0.0000
-4.391,0.0000
-4.341,0.0000
-4.291,0.0000
-4.241,0.0000
-4.190,0.0001
-4.140,0.0001
-4.090,0.0001
-4.040,0.0001
-3.990,0.0001
-3.940,0.0002
-3.890,0.0002
-3.840,0.0003
-3.789,0.0003
-3.739,0.0004
-3.689,0.0004
-3.639,0.0005
-3.589,0.0006
-3.539,0.0008
-3.489,0.0009
-3.439,0.0011
-3.388,0.0013
-3.338,0.0015
-3.288,0.0018
-3.238,0.0021
-3.188,0.0025
-3.138,0.0029
-3.088,0.0034
-3.038,0.0040
-2.987,0.0046
-2.937,0.0053
-2.887,0.0062
-2.837,0.0071
-2.787,0.0082
-2.737,0.0094
-2.687,0.0108
-2.637,0.0123
-2.586,0.0141
-2.536,0.0160
-2.486,0.0181
-2.436,0.0205
-2.386,0.0232
-2.336,0.0261
-2.286,0.0293
-2.236,0.0328
-2.185,0.0366
-2.135,0.0408
-2.085,0.0454
-2.035,0.0503
-1.985,0.0556
-1.935,0.0614
-1.885,0.0675
-1.835,0.0741
-1.784,0.0812
-1.734,0.0887
-1.684,0.0966
-1.634,0.1050
-1.584,0.1138
-1.534,0.1230
-1.484,0.1327
-1.434,0.1428
-1.383,0.1532
-1.333,0.1640
-1.283,0.1751
-1.233,0.1865
-1.183,0.1982
-1.133,0.2100
-1.083,0.2220
-1.033,0.2341
-0.982,0.2462
-0.932,0.2583
-0.882,0.2703
-0.832,0.2822
-0.782,0.2939
-0.732,0.3052
-0.682,0.3162
-0.632,0.3268
-0.581,0.3369
