x,orig_N01,trans
-8.000,0.0000,0.0001
-7.950,0.0000,0.0001
-7.900,0.0000,0.0001
-7.850,0.0000,0.0001
-7.799,0.0000,0.0001
-7.749,0.0000,0.0001
-7.699,0.0000,0.0001
-7.649,0.0000,0.0001
-7.599,0.0000,0.0001
-7.549,0.0000,0.0001
-7.499,0.0000,0.0001
-7.449,0.0000,0.0001
-7.398,0.0000,0.0001
-7.348,0.0000,0.0001
-7.298,0.0000,0.0002
-7.248,0.0000,0.0002
-7.198,0.0000,0.0002
-7.148,0.0000,0.0002
-7.098,0.0000,0.0002
-7.048,0.0000,0.0002
-6.997,0.0000,0.0002
-6.947,0.0000,0.0003
-6.897,0.0000,0.0003
-6.847,0.0000,0.0003
-6.797,0.0000,0.0003
-6.747,0.0000,0.0004
-6.697,0.0000,0.0004
-6.647,0.0000,0.0004
-6.596,0.0000,0.0004
-6.546,0.0000,0.0005
-6.496,0.0000,0.0005
-6.446,0.0000,0.0005
-6.396,0.0000,0.0006
-6.346,0.0000,0.0006
-6.296,0.0000,0.0006
-6.246,0.0000,0.0007
-6.195,0.0000,0.0007
-6.145,0.0000,0.0008
-6.095,0.0000,0.0008
-6.045,0.0000,0.0009
-5.995,0.0000,0.0010
-5.945,0.0000,0.0010
-5.895,0.0000,0.0011
-5.845,0.0000,0.0012
-5.794,0.0000,0.0012
-5.744,0.0000,0.0013
-5.694,0.0000,0.0014
-5.644,0.0000,0.0015
-5.594,0.0000,0.0016
-5.544,0.0000,0.0017
-5.494,0.0000,0.0018
-5.444,0.0000,0.0019
-5.393,0.0000,0.0020
-5.343,0.0000,0.0021
-5.293,0.0000,0.0023
-5.243,0.0000,0.0024
-5.193,0.0000,0.0025
-5.143,0.0000,0.0027
-5.093,0.0000,0.0029
-5.043,0.0000,0.0030
-4.992,0.0000,0.0032
-4.942,0.0000,0.0034
-4.892,0.0000,0.0036
-4.842,0.0000,0.0038
-4.792,0.0000,0.0040
-4.742,0.0000,0.0042
-4.692,0.0000,0.0044
-4.642,0.0000,0.0047
-4.591,0.0000,0.0049
-4.541,0.0000,0.0052
-4.491,0.0000,0.0055
-4.441,0.0000,0.0058
-4.391,0.0000,0.0061
-4.341,0.0000,0.0064
-4.291,0.0000,0.0067
-4.241,0.0000,0.0071
-4.190,0.0001,0.0074
-4.140,0.0001,0.0078
-4.090,0.0001,0.0082
-4.040,0.0001,0.0086
-3.990,0.0001,0.0090
-3.940,0.0002,0.0095
-3.890,0.0002,0.0099
-3.840,0.0003,0.0104
-3.789,0.0003,0.0109
-3.739,0.0004,0.0114
-3.689,0.0004,0.0120
-3.639,0.0005,0.0125
-3.589,0.0006,0.0131
-3.539,0.0008,0.0137
-3.489,0.0009,0.0143
-3.439,0.0011,0.0150
-3.388,0.0013,0.0156
-3.338,0.0015,0.0163
-3.288,0.0018,0.0170
-3.238,0.0021,0.0178
-3.188,0.0025,0.0185
-3.138,0.0029,0.0193
-3.088,0.0034,0.0201
-3.038,0.0040,0.0210
-2.987,0.0046,0.0218
-2.937,0.0053,0.0227
-2.887,0.0062,0.0236
-2.837,0.0071,0.0246
-2.787,0.0082,0.0255
-2.737,0.0094,0.0265
-2.687,0.0108,0.0275
-2.637,0.0123,0.0286
-2.586,0.0141,0.0297
-2.536,0.0160,0.0308
-2.486,0.0181,0.0319
-2.436,0.0205,0.0331
-2.386,0.0232,0.0342
-2.336,0.0261,0.0355
-2.286,0.0293,0.0367
-2.236,0.0328,0.0380
-2.185,0.0366,0.0393
-2.135,0.0408,0.0406
