x,prior,likelihood,product,gaussian_fit
-8.000,0.0000,0.0000,0.0000,0.0000
-7.950,0.0000,0.0000,0.0000,0.0000
-7.900,0.0000,0.0000,0.0000,0.0000
-7.850,0.0000,0.0000,0.0000,0.0000
-7.799,0.0000,0.0000,0.0000,0.0000
-7.749,0.0000,0.0000,0.0000,0.0000
-7.699,0.0000,0.0000,0.0000,0.0000
-7.649,0.0000,0.0000,0.0000,0.0000
-7.599,0.0000,0.0000,0.0000,0.0000
-7.549,0.0000,0.0000,0.0000,0.0000
-7.499,0.0000,0.0000,0.0000,0.0000
-7.449,0.0000,0.0000,0.0000,0.0000
-7.398,0.0000,0.0000,0.0000,0.0000
-7.348,0.0000,0.0000,0.0000,0.0000
-7.298,0.0000,0.0000,0.0000,0.0000
-7.248,0.0000,0.0000,0.0000,0.0000
-7.198,0.0000,0.0000,0.0000,0.0000
-7.148,0.0000,0.0000,0.0000,0.0000
-7.098,0.0001,0.0000,0.0000,0.0000
-7.048,0.0001,0.0000,0.0000,0.0000
-6.997,0.0001,0.0000,0.0000,0.0000
-6.947,0.0001,0.0000,0.0000,0.0000
-6.897,0.0001,0.0000,0.0000,0.0000
-6.847,0.0001,0.0000,0.0000,0.0000
-6.797,0.0001,0.0000,0.0000,0.0000
-6.747,0.0001,0.0000,0.0000,0.0000
-6.697,0.0001,0.0000,0.0000,0.0000
-6.647,0.0001,0.0000,0.0000,0.0000
-6.596,0.0001,0.0000,0.0000,0.0000
-6.546,0.0002,0.0000,0.0000,0.0000
-6.496,0.0002,0.0000,0.0000,0.0000
-6.446,0.0002,0.0000,0.0000,0.0000
-6.396,0.0002,0.0000,0.0000,0.0000
-6.346,0.0002,0.0000,0.0000,0.0000
-6.296,0.0003,0.0000,0.0000,0.0000
-6.246,0.0003,0.0000,0.0000,0.0000
-6.195,0.0003,0.0000,0.0000,0.0000
-6.145,0.0003,0.0000,0.0000,0.0000
-6.095,0.0004,0.0000,0.0000,0.0000
-6.045,0.0004,0.0000,0.0000,0.0000
-5.995,0.0004,0.0000,0.0000,0.0000
-5.945,0.0005,0.0000,0.0000,0.0000
-5.895,0.0005,0.0000,0.0000,0.0000
