t,wave1,wave2
0,0.0000,0.0000
1,0.0980,0.1531
2,0.1951,0.2828
3,0.2903,0.3696
4,0.3827,0.4000
5,0.4714,0.3696
6,0.5556,0.2828
7,0.6344,0.1531
8,0.7071,0.0000
9,0.7730,-0.1531
10,0.8315,-0.2828
11,0.8819,-0.3696
12,0.9239,-0.4000
13,0.9569,-0.3696
14,0.9808,-0.2828
15,0.9952,-0.1531
16,1.0000,-0.0000
17,0.9952,0.1531
18,0.9808,0.2828
19,0.9569,0.3696
20,0.9239,0.4000
21,0.8819,0.3696
22,0.8315,0.2828
23,0.7730,0.1531
24,0.7071,0.0000
25,0.6344,-0.1531
26,0.5556,-0.2828
27,0.4714,-0.3696
28,0.3827,-0.4000
29,0.2903,-0.3696
30,0.1951,-0.2828
31,0.0980,-0.1531
32,0.0000,-0.0000
33,-0.0980,0.1531
34,-0.1951,0.2828
35,-0.2903,0.3696
36,-0.3827,0.4000
37,-0.4714,0.3696
38,-0.5556,0.2828
39,-0.6344,0.1531
40,-0.7071,0.0000
41,-0.7730,-0.1531
42,-0.8315,-0.2828
43,-0.8819,-0.3696
44,-0.9239,-0.4000
45,-0.9569,-0.3696
46,-0.9808,-0.2828
47,-0.9952,-0.1531
48,-1.0000,-0.0000
49,-0.9952,0.1531
50,-0.9808,0.2828
51,-0.9569,0.3696
52,-0.9239,0.4000
53,-0.8819,0.3696
54,-0.8315,0.2828
55,-0.7730,0.1531
56,-0.7071,0.0000
57,-0.6344,-0.1531
58,-0.5556,-0.2828
59,-0.4714,-0.3696
60,-0.3827,-0.4000
61,-0.2903,-0.3696
62,-0.1951,-0.2828
63,-0.0980,-0.1531
64,-0.0000,-0.0000
65,0.0980,0.1531
66,0.1951,0.2828
67,0.2903,0.3696
68,0.3827,0.4000
69,0.4714,0.3696
70,0.5556,0.2828
71,0.6344,0.1531
72,0.7071,0.0000
73,0.7730,-0.1531
74,0.8315,-0.2828
75,0.8819,-0.3696
76,0.9239,-0.4000
77,0.9569,-0.3696
78,0.9808,-0.2828
79,0.9952,-0.1531
80,1.0000,-0.0000
81,0.9952,0.1531
82,0.9808,0.2828
83,0.9569,0.3696
84,0.9239,0.4000
85,0.8819,0.3696
86,0.8315,0.2828
87,0.7730,0.1531
88,0.7071,0.0000
89,0.6344,-0.1531
90,0.5556,-0.2828
91,0.4714,-0.3696
92,0.3827,-0.4000
93,0.2903,-0.3696
94,0.1951,-0.2828
95,0.0980,-0.1531
96,0.0000,-0.0000
97,-0.0980,0.1531
98,-0.1951,0.2828
99,-0.2903,0.3696
100,-0.3827,0.4000
101,-0.4714,0.3696
102,-0.5556,0.2828
103,-0.6344,0.1531
104,-0.7071,-0.0000
105,-0.7730,-0.1531
106,-0.8315,-0.2828
107,-0.8819,-0.3696
108,-0.9239,-0.4000
109,-0.9569,-0.3696
110,-0.9808,-0.2828
111,-0.9952,-0.1531
112,-1.0000,-0.0000
113,-0.9952,0.1531
114,-0.9808,0.2828
115,-0.9569,0.3696
116,-0.9239,0.4000
117,-0.8819,0.3696
118,-0.8315,0.2828
119,-0.7730,0.1531
120,-0.7071,0.0000
121,-0.6344,-0.1531
122,-0.5556,-0.2828
123,-0.4714,-0.3696
124,-0.3827,-0.4000
125,-0.2903,-0.3696
126,-0.1951,-0.2828
127,-0.0980,-0.1531
128,-0.0000,-0.0000
129,0.0980,0.1531
130,0.1951,0.2828
131,0.2903,0.3696
132,0.3827,0.4000
133,0.4714,0.3696
134,0.5556,0.2828
135,0.6344,0.1531
136,0.7071,-0.0000
137,0.7730,-0.1531
138,0.8315,-0.2828
139,0.8819,-0.3696
140,0.9239,-0.4000
141,0.9569,-0.3696
142,0.9808,-0.2828
143,0.9952,-0.1531
144,1.0000,-0.0000
145,0.9952,0.1531
146,0.9808,0.2828
147,0.9569,0.3696
148,0.9239,0.4000
149,0.8819,0.3696
150,0.8315,0.2828
151,0.7730,0.1531
152,0.7071,0.0000
153,0.6344,-0.1531
154,0.5556,-0.2828
155,0.4714,-0.3696
156,0.3827,-0.4000
157,0.2903,-0.3696
158,0.1951,-0.2828
159,0.0980,-0.1531
160,0.0000,-0.0000
161,-0.0980,0.1531
162,-0.1951,0.2828
163,-0.2903,0.3696
164,-0.3827,0.4000
165,-0.4714,0.3696
166,-0.5556,0.2828
167,-0.6344,0.1531
168,-0.7071,-0.0000
169,-0.7730,-0.1531
170,-0.8315,-0.2828
171,-0.8819,-0.3696
172,-0.9239,-0.4000
173,-0.9569,-0.3696
174,-0.9808,-0.2828
175,-0.9952,-0.1531
176,-1.0000,-0.0000
177,-0.9952,0.1531
178,-0.9808,0.2828
179,-0.9569,0.3696
180,-0.9239,0.4000
181,-0.8819,0.3696
182,-0.8315,0.2828
183,-0.7730,0.1531
184,-0.7071,0.0000
185,-0.6344,-0.1531
186,-0.5556,-0.2828
187,-0.4714,-0.3696
188,-0.3827,-0.4000
189,-0.2903,-0.3696
190,-0.1951,-0.2828
191,-0.0980,-0.1531
192,-0.0000,-0.0000
193,0.0980,0.1531
194,0.1951,0.2828
195,0.2903,0.3696
196,0.3827,0.4000
197,0.4714,0.3696
198,0.5556,0.2828
199,0.6344,0.1531
200,0.7071,-0.0000
201,0.7730,-0.1531
202,0.8315,-0.2828
203,0.8819,-0.3696
204,0.9239,-0.4000
205,0.9569,-0.3696
206,0.9808,-0.2828
207,0.9952,-0.1531
208,1.0000,0.0000
209,0.9952,0.1531
210,0.9808,0.2828
211,0.9569,0.3696
212,0.9239,0.4000
213,0.8819,0.3696
214,0.8315,0.2828
215,0.7730,0.1531
216,0.7071,0.0000
217,0.6344,-0.1531
218,0.5556,-0.2828
219,0.4714,-0.3696
220,0.3827,-0.4000
221,0.2903,-0.3696
