t,wave1,wave2,sum
0,0.0000,0.0000,0.0000
1,0.0980,0.1531,0.2511
2,0.1951,0.2828,0.4779
3,0.2903,0.3696,0.6598
4,0.3827,0.4000,0.7827
5,0.4714,0.3696,0.8409
6,0.5556,0.2828,0.8384
7,0.6344,0.1531,0.7875
8,0.7071,0.0000,0.7071
9,0.7730,-0.1531,0.6199
10,0.8315,-0.2828,0.5486
11,0.8819,-0.3696,0.5124
12,0.9239,-0.4000,0.5239
13,0.9569,-0.3696,0.5874
14,0.9808,-0.2828,0.6979
15,0.9952,-0.1531,0.8421
16,1.0000,-0.0000,1.0000
17,0.9952,0.1531,1.1483
18,0.9808,0.2828,1.2636
19,0.9569,0.3696,1.3265
20,0.9239,0.4000,1.3239
21,0.8819,0.3696,1.2515
22,0.8315,0.2828,1.1143
23,0.7730,0.1531,0.9261
24,0.7071,0.0000,0.7071
25,0.6344,-0.1531,0.4813
26,0.5556,-0.2828,0.2727
27,0.4714,-0.3696,0.1018
28,0.3827,-0.4000,-0.0173
29,0.2903,-0.3696,-0.0793
30,0.1951,-0.2828,-0.0878
31,0.0980,-0.1531,-0.0551
32,0.0000,-0.0000,-0.0000
33,-0.0980,0.1531,0.0551
34,-0.1951,0.2828,0.0878
35,-0.2903,0.3696,0.0793
36,-0.3827,0.4000,0.0173
37,-0.4714,0.3696,-0.1018
38,-0.5556,0.2828,-0.2727
39,-0.6344,0.1531,-0.4813
40,-0.7071,0.0000,-0.7071
41,-0.7730,-0.1531,-0.9261
42,-0.8315,-0.2828,-1.1143
43,-0.8819,-0.3696,-1.2515
44,-0.9239,-0.4000,-1.3239
45,-0.9569,-0.3696,-1.3265
46,-0.9808,-0.2828,-1.2636
47,-0.9952,-0.1531,-1.1483
48,-1.0000,-0.0000,-1.0000
49,-0.9952,0.1531,-0.8421
50,-0.9808,0.2828,-0.6979
51,-0.9569,0.3696,-0.5874
52,-0.9239,0.4000,-0.5239
53,-0.8819,0.3696,-0.5124
54,-0.8315,0.2828,-0.5486
55,-0.7730,0.1531,-0.6199
56,-0.7071,0.0000,-0.7071
57,-0.6344,-0.1531,-0.7875
58,-0.5556,-0.2828,-0.8384
59,-0.4714,-0.3696,-0.8409
60,-0.3827,-0.4000,-0.7827
61,-0.2903,-0.3696,-0.6598
62,-0.1951,-0.2828,-0.4779
63,-0.0980,-0.1531,-0.2511
64,-0.0000,-0.0000,-0.0000
65,0.0980,0.1531,0.2511
66,0.1951,0.2828,0.4779
67,0.2903,0.3696,0.6598
68,0.3827,0.4000,0.7827
69,0.4714,0.3696,0.8409
70,0.5556,0.2828,0.8384
71,0.6344,0.1531,0.7875
72,0.7071,0.0000,0.7071
73,0.7730,-0.1531,0.6199
74,0.8315,-0.2828,0.5486
75,0.8819,-0.3696,0.5124
76,0.9239,-0.4000,0.5239
77,0.9569,-0.3696,0.5874
78,0.9808,-0.2828,0.6979
79,0.9952,-0.1531,0.8421
80,1.0000,-0.0000,1.0000
81,0.9952,0.1531,1.1483
82,0.9808,0.2828,1.2636
83,0.9569,0.3696,1.3265
84,0.9239,0.4000,1.3239
85,0.8819,0.3696,1.2515
86,0.8315,0.2828,1.1143
87,0.7730,0.1531,0.9261
88,0.7071,0.0000,0.7071
89,0.6344,-0.1531,0.4813
90,0.5556,-0.2828,0.2727
91,0.4714,-0.3696,0.1018
92,0.3827,-0.4000,-0.0173
93,0.2903,-0.3696,-0.0793
94,0.1951,-0.2828,-0.0878
95,0.0980,-0.1531,-0.0551
96,0.0000,-0.0000,-0.0000
97,-0.0980,0.1531,0.0551
98,-0.1951,0.2828,0.0878
99,-0.2903,0.3696,0.0793
100,-0.3827,0.4000,0.0173
101,-0.4714,0.3696,-0.1018
102,-0.5556,0.2828,-0.2727
103,-0.6344,0.1531,-0.4813
104,-0.7071,-0.0000,-0.7071
105,-0.7730,-0.1531,-0.9261
106,-0.8315,-0.2828,-1.1143
107,-0.8819,-0.3696,-1.2515
108,-0.9239,-0.4000,-1.3239
109,-0.9569,-0.3696,-1.3265
110,-0.9808,-0.2828,-1.2636
111,-0.9952,-0.1531,-1.1483
112,-1.0000,-0.0000,-1.0000
113,-0.9952,0.1531,-0.8421
114,-0.9808,0.2828,-0.6979
115,-0.9569,0.3696,-0.5874
116,-0.9239,0.4000,-0.5239
117,-0.8819,0.3696,-0.5124
118,-0.8315,0.2828,-0.5486
119,-0.7730,0.1531,-0.6199
120,-0.7071,0.0000,-0.7071
121,-0.6344,-0.1531,-0.7875
122,-0.5556,-0.2828,-0.8384
123,-0.4714,-0.3696,-0.8409
124,-0.3827,-0.4000,-0.7827
125,-0.2903,-0.3696,-0.6598
126,-0.1951,-0.2828,-0.4779
127,-0.0980,-0.1531,-0.2511
128,-0.0000,-0.0000,-0.0000
129,0.0980,0.1531,0.2511
130,0.1951,0.2828,0.4779
131,0.2903,0.3696,0.6598
132,0.3827,0.4000,0.7827
133,0.4714,0.3696,0.8409
134,0.5556,0.2828,0.8384
135,0.6344,0.1531,0.7875
136,0.7071,-0.0000,0.7071
137,0.7730,-0.1531,0.6199
138,0.8315,-0.2828,0.5486
139,0.8819,-0.3696,0.5124
140,0.9239,-0.4000,0.5239
141,0.9569,-0.3696,0.5874
142,0.9808,-0.2828,0.6979
143,0.9952,-0.1531,0.8421
144,1.0000,-0.0000,1.0000
145,0.9952,0.1531,1.1483
146,0.9808,0.2828,1.2636
147,0.9569,0.3696,1.3265
148,0.9239,0.4000,1.3239
149,0.8819,0.3696,1.2515
150,0.8315,0.2828,1.1143
151,0.7730,0.1531,0.9261
152,0.7071,0.0000,0.7071
153,0.6344,-0.1531,0.4813
154,0.5556,-0.2828,0.2727
155,0.4714,-0.3696,0.1018
156,0.3827,-0.4000,-0.0173
157,0.2903,-0.3696,-0.0793
158,0.1951,-0.2828,-0.0878
159,0.0980,-0.1531,-0.0551
160,0.0000,-0.0000,-0.0000
161,-0.0980,0.1531,0.0551
162,-0.1951,0.2828,0.0878
163,-0.2903,0.3696,0.0793
164,-0.3827,0.4000,0.0173
165,-0.4714,0.3696,-0.1018
166,-0.5556,0.2828,-0.2727
167,-0.6344,0.1531,-0.4813
168,-0.7071,-0.0000,-0.7071
169,-0.7730,-0.1531,-0.9261
170,-0.8315,-0.2828,-1.1143
171,-0.8819,-0.3696,-1.2515
172,-0.9239,-0.4000,-1.3239
173,-0.9569,-0.3696,-1.3265
174,-0.9808,-0.2828,-1.2636
175,-0.9952,-0.1531,-1.1483
176,-1.0000,-0.0000,-1.0000
177,-0.9952,0.1531,-0.8421
178,-0.9808,0.2828,-0.6979
179,-0.9569,0.3696,-0.5874
180,-0.9239,0.4000,-0.5239
181,-0.8819,0.3696,-0.5124
182,-0.8315,0.2828,-0.5486
183,-0.7730,0.1531,-0.6199
184,-0.7071,0.0000,-0.7071
185,-0.6344,-0.1531,-0.7875
186,-0.5556,-0.2828,-0.8384
187,-0.4714,-0.3696,-0.8409
188,-0.3827,-0.4000,-0.7827
189,-0.2903,-0.3696,-0.6598
190,-0.1951,-0.2828,-0.4779
191,-0.0980,-0.1531,-0.2511
192,-0.0000,-0.0000,-0.0000
193,0.0980,0.1531,0.2511
194,0.1951,0.2828,0.4779
195,0.2903,0.3696,0.6598
196,0.3827,0.4000,0.7827
197,0.4714,0.3696,0.8409
198,0.5556,0.2828,0.8384
199,0.6344,0.1531,0.7875
200,0.7071,-0.0000,0.7071
201,0.7730,-0.1531,0.6199
202,0.8315,-0.2828,0.5486
203,0.8819,-0.3696,0.5124
204,0.9239,-0.4000,0.5239
