freq,magnitude
0.00000,0.0000
0.00391,0.0000
0.00781,0.0000
0.01172,0.0000
0.01562,1.0000
0.01953,0.0000
0.02344,0.0000
0.02734,0.0000
0.03125,0.0000
0.03516,0.0000
0.03906,0.0000
0.04297,0.0000
0.04688,0.0000
0.05078,0.0000
0.05469,0.0000
0.05859,0.0000
0.06250,0.4000
0.06641,0.0000
0.07031,0.0000
0.07422,0.0000
0.07812,0.0000
0.08203,0.0000
0.08594,0.0000
0.08984,0.0000
0.09375,0.0000
0.09766,0.0000
0.10156,0.0000
0.10547,0.0000
0.10938,0.0000
0.11328,0.0000
0.11719,0.0000
0.12109,0.0000
0.12500,0.0000
0.12891,0.0000
0.13281,0.0000
0.13672,0.0000
0.14062,0.0000
0.14453,0.0000
0.14844,0.0000
0.15234,0.0000
0.15625,0.0000
0.16016,0.0000
0.16406,0.0000
0.16797,0.0000
0.17188,0.0000
0.17578,0.0000
0.17969,0.0000
0.18359,0.0000
0.18750,0.0000
0.19141,0.0000
0.19531,0.0000
0.19922,0.0000
0.20312,0.0000
0.20703,0.0000
0.21094,0.0000
0.21484,0.0000
0.21875,0.0000
0.22266,0.0000
0.22656,0.0000
0.23047,0.0000
0.23438,0.0000
0.23828,0.0000
0.24219,0.0000
0.24609,0.0000
0.25000,0.0000
0.25391,0.0000
0.25781,0.0000
0.26172,0.0000
0.26562,0.0000
0.26953,0.0000
0.27344,0.0000
0.27734,0.0000
0.28125,0.0000
0.28516,0.0000
0.28906,0.0000
0.29297,0.0000
0.29688,0.0000
0.30078,0.0000
0.30469,0.0000
0.30859,0.0000
0.31250,0.0000
0.31641,0.0000
0.32031,0.0000
0.32422,0.0000
0.32812,0.0000
0.33203,0.0000
0.33594,0.0000
0.33984,0.0000
0.34375,0.0000
0.34766,0.0000
0.35156,0.0000
0.35547,0.0000
0.35938,0.0000
0.36328,0.0000
0.36719,0.0000
0.37109,0.0000
0.37500,0.0000
0.37891,0.0000
0.38281,0.0000
0.38672,0.0000
0.39062,0.0000
0.39453,0.0000
0.39844,0.0000
0.40234,0.0000
0.40625,0.0000
0.41016,0.0000
0.41406,0.0000
0.41797,0.0000
0.42188,0.0000
0.42578,0.0000
0.42969,0.0000
0.43359,0.0000
0.43750,0.0000
0.44141,0.0000
0.44531,0.0000
0.44922,0.0000
0.45312,0.0000
0.45703,0.0000
0.46094,0.0000
0.46484,0.0000
0.46875,0.0000
0.47266,0.0000
0.47656,0.0000
0.48047,0.0000
0.48438,0.0000
0.48828,0.0000
0.49219,0.0000
0.49609,0.0000
0.50000,0.0000
