k,true_x,true_y,est_x,est_y,P_xx,P_yy,P_xy
0,0.0000,0.0000,0.1987,-0.0879,6.0000,3.0000,0.0000
1,0.2400,0.3497,0.1847,0.4925,5.9553,3.0299,0.2387
2,0.4797,0.6973,0.7387,1.2885,5.8253,3.1184,0.4693
3,0.7189,1.0410,1.3281,0.8337,5.6216,3.2620,0.6844
4,0.9573,1.3788,0.8636,1.0554,5.3624,3.4549,0.8767
5,1.1947,1.7089,1.1011,1.5081,5.0707,3.6895,1.0401
6,1.4309,2.0293,2.0626,2.3954,4.7728,3.9565,1.1697
7,1.6656,2.3384,1.9726,2.4699,4.4952,4.2450,1.2618
8,1.8986,2.6347,1.7108,2.4228,4.2626,4.5438,1.3141
9,2.1297,2.9167,2.3467,3.1220,4.0959,4.8408,1.3261
10,2.3587,3.1829,2.1733,3.2218,4.0100,5.1242,1.2987
11,2.5854,3.4324,2.3991,3.8199,4.0125,5.3828,1.2344
12,2.8096,3.6641,2.9064,3.3833,4.1032,5.6061,1.1372
13,3.0312,3.8771,2.2659,3.7461,4.2741,5.7853,1.0124
14,3.2501,4.0709,2.5601,3.9141,4.5097,5.9133,0.8662
15,3.4660,4.2450,3.2411,3.6596,4.7892,5.9850,0.7058
16,3.6790,4.3991,3.2739,4.5176,5.0875,5.9974,0.5388
17,3.8889,4.5333,4.0146,4.6378,5.3780,5.9502,0.3733
18,4.0957,4.6477,3.7325,4.6497,5.6347,5.8451,0.2169
19,4.2994,4.7426,3.7344,4.6488,5.8347,5.6865,0.0771
20,4.4998,4.8186,5.0860,4.2524,5.9602,5.4805,-0.0394
21,4.6970,4.8764,4.6067,4.7082,5.9999,5.2354,-0.1269
22,4.8911,4.9170,4.9181,4.7799,5.9502,4.9610,-0.1809
23,5.0820,4.9414,4.5121,4.6205,5.8157,4.6682,-0.1981
24,5.2698,4.9509,5.0521,4.8864,5.6084,4.3688,-0.1770
25,5.4546,4.9469,5.4990,5.1086,5.3466,4.0745,-0.1175
26,5.6366,4.9310,5.1762,5.6855,5.0540,3.7972,-0.0211
27,5.8157,4.9048,5.9660,4.9746,4.7565,3.5480,0.1092
28,5.9922,4.8700,5.7519,4.9730,4.4807,3.3367,0.2688
29,6.1661,4.8285,6.0494,4.7987,4.2514,3.1717,0.4522
30,6.3377,4.7822,6.0970,4.0147,4.0889,3.0597,0.6526
31,6.5072,4.7332,7.2481,4.7226,4.0078,3.0052,0.8627
32,6.6747,4.6833,6.6693,4.7073,4.0153,3.0102,1.0746
33,6.8404,4.6345,6.4173,5.6198,4.1108,3.0747,1.2803
34,7.0046,4.5889,7.3336,4.5120,4.2857,3.1959,1.4720
35,7.1675,4.5484,6.6792,4.6691,4.5245,3.3691,1.6424
36,7.3293,4.5150,7.4129,4.5011,4.8057,3.5875,1.7851
37,7.4903,4.4903,6.7064,4.0229,5.1042,3.8422,1.8946
38,7.6507,4.4763,7.1194,4.9334,5.3935,4.1231,1.9666
39,7.8108,4.4745,7.8895,4.7752,5.6476,4.4191,1.9985
40,7.9708,4.4864,8.2662,4.8028,5.8439,4.7183,1.9889
41,8.1310,4.5134,8.1996,4.1497,5.9647,5.0087,1.9383
42,8.2917,4.5568,8.2454,5.1180,5.9994,5.2789,1.8486
