k,true,obs,W3,W8,W20
0,1.0000,1.1987,0.7493,0.7041,0.8065
1,1.1045,1.0492,1.2383,0.8683,0.8905
2,1.2079,1.4670,1.4781,1.0441,0.9769
3,1.3090,1.9182,1.5661,1.3215,1.0793
4,1.4067,1.3131,1.5459,1.5685,1.1399
5,1.5000,1.4063,1.6463,1.6131,1.2051
6,1.5878,2.2195,1.8673,1.7352,1.2939
7,1.6691,1.9761,1.9170,1.7619,1.3734
8,1.7431,1.5554,1.8525,1.7380,1.4785
9,1.8090,2.0260,1.7540,1.8299,1.5579
10,1.8660,1.6807,1.8113,1.8057,1.6254
11,1.9135,1.7273,1.8186,1.6913,1.6881
12,1.9511,2.0478,1.6626,1.6662,1.7215
13,1.9781,1.2128,1.5217,1.6705,1.7367
14,1.9945,1.3046,1.4308,1.6802,1.6957
15,2.0000,1.7751,1.5563,1.6686,1.6986
16,1.9945,1.5894,1.8228,1.6213,1.7055
17,1.9781,2.1038,1.7604,1.6718,1.6418
18,1.9511,1.5878,1.6801,1.7350,1.6160
19,1.9135,1.3486,1.7963,1.7932,1.5866
20,1.8660,2.4523,1.8399,1.7088,1.5347
21,1.8090,1.7187,1.9804,1.6813,1.4886
22,1.7431,1.7702,1.5294,1.6114,1.4841
23,1.6691,1.0992,1.4131,1.5312,1.4210
24,1.5878,1.3700,1.3379,1.5451,1.3738
25,1.5000,1.5444,1.2869,1.3595,1.3547
26,1.4067,0.9463,1.3167,1.2681,1.2665
27,1.3090,1.4593,1.1244,1.1418,1.2118
28,1.2079,0.9677,1.1383,1.2089,1.0840
29,1.1045,0.9879,0.9049,1.1360,0.9909
30,1.0000,0.7593,1.1279,0.9764,0.9369
31,0.8955,1.6364,1.0608,0.9734,0.8358
32,0.7921,0.7867,0.8970,0.7925,0.7576
33,0.6910,0.2679,0.6590,0.7335,0.6692
34,0.5933,0.9223,0.4006,0.5534,0.6093
35,0.5000,0.0117,0.4766,0.4242,0.5115
36,0.4122,0.4958,0.0181,0.2533,0.4199
37,0.3309,-0.4530,-0.0772,0.2087,0.3636
38,0.2569,-0.2744,-0.1526,0.1945,0.3129
39,0.1910,0.2697,0.1416,0.0796,0.2739
40,0.1340,0.4294,0.2847,0.0658,0.1935
41,0.0865,0.1550,0.1957,-0.0694,0.1687
42,0.0489,0.0027,0.0197,-0.0488,0.0888
43,0.0219,-0.0986,-0.2273,-0.0368,0.0487
44,0.0055,-0.5859,-0.3242,-0.0149,0.0641
45,0.0000,-0.2879,-0.3509,-0.0453,0.0592
46,0.0055,-0.1788,-0.0073,-0.1420,0.1023
47,0.0219,0.4447,0.1508,-0.1094,0.0904
48,0.0489,0.1864,0.0041,-0.0925,0.1414
49,0.0865,-0.6188,-0.0563,-0.0210,0.2013
50,0.1340,0.2636,-0.1061,0.0870,0.2521
51,0.1910,0.0370,0.0955,0.2124,0.2711
52,0.2569,-0.0139,0.1995,0.2659,0.3148
53,0.3309,0.5755,0.4621,0.2748,0.3530
54,0.4122,0.8246,0.7576,0.4230,0.3994
55,0.5000,0.8725,0.6516,0.5056,0.5153
56,0.5933,0.2576,0.5658,0.6617,0.6318
57,0.6910,0.5673,0.5832,0.7645,0.7187
58,0.7921,0.9246,0.9259,0.8214,0.8000
59,0.8955,1.2857,1.0062,0.8140,0.8851
60,1.0000,0.8083,1.0414,0.8087,0.9936
61,1.1045,1.0303,0.8680,0.9930,1.0809
62,1.2079,0.7654,0.8754,1.1774,1.2055
63,1.3090,0.8305,1.1092,1.2567,1.3030
64,1.4067,1.7317,1.5349,1.3548,1.4045
65,1.5000,2.0425,1.7777,1.4897,1.4106
66,1.5878,1.5590,1.8907,1.5548,1.5834
67,1.6691,2.0705,1.8391,1.7105,1.7720
68,1.7431,1.8878,1.8364,1.9227,1.9365
69,1.8090,1.5510,1.8165,1.9484,2.0897
70,1.8660,2.0106,2.0301,2.0185,2.1813
71,1.9135,2.5288,2.1587,1.9420,2.3298
72,1.9511,1.9367,2.3565,2.2243,2.4759
73,1.9781,2.6040,1.8291,2.4920,2.6544
74,1.9945,0.9466,2.6265,2.7804,2.7859
75,4.0000,4.3288,3.1016,3.0276,2.8625
76,3.9945,4.0293,4.0722,3.1013,2.9254
77,3.9781,3.8585,3.9585,3.3315,3.0361
78,3.9511,3.9878,3.6549,3.4999,3.1046
79,3.9135,3.1185,3.6281,3.9234,3.1600
80,3.8660,3.7782,3.6162,3.8150,3.2479
81,3.8090,3.9519,4.0214,3.7194,3.2993
82,3.7431,4.3343,3.9160,3.6495,3.3371
83,3.6691,3.4618,3.6868,3.6227,3.3658
84,3.5878,3.2644,3.3418,3.6629,3.3636
85,3.5000,3.2993,3.4455,3.5651,3.4381
86,3.4067,3.7729,3.5042,3.4849,3.3174
87,3.3090,3.4405,3.4031,3.3229,3.2424
