k,true,obs,a01,a03,a07
0,1.0000,1.1987,1.1987,1.1987,1.1987
1,1.1045,1.0492,1.1837,1.1538,1.0941
2,1.2079,1.4670,1.2121,1.2478,1.3551
3,1.3090,1.9182,1.2827,1.4489,1.7493
4,1.4067,1.3131,1.2857,1.4082,1.4439
5,1.5000,1.4063,1.2978,1.4076,1.4176
6,1.5878,2.2195,1.3900,1.6512,1.9789
7,1.6691,1.9761,1.4486,1.7487,1.9769
8,1.7431,1.5554,1.4592,1.6907,1.6818
9,1.8090,2.0260,1.5159,1.7913,1.9228
10,1.8660,1.6807,1.5324,1.7581,1.7533
11,1.9135,1.7273,1.5519,1.7488,1.7351
12,1.9511,2.0478,1.6015,1.8385,1.9540
13,1.9781,1.2128,1.5626,1.6508,1.4352
14,1.9945,1.3046,1.5368,1.5469,1.3437
15,2.0000,1.7751,1.5606,1.6154,1.6457
16,1.9945,1.5894,1.5635,1.6076,1.6063
17,1.9781,2.1038,1.6175,1.7565,1.9546
18,1.9511,1.5878,1.6146,1.7059,1.6979
19,1.9135,1.3486,1.5880,1.5987,1.4534
20,1.8660,2.4523,1.6744,1.8548,2.1526
21,1.8090,1.7187,1.6788,1.8140,1.8489
22,1.7431,1.7702,1.6880,1.8008,1.7938
23,1.6691,1.0992,1.6291,1.5903,1.3076
24,1.5878,1.3700,1.6032,1.5242,1.3513
25,1.5000,1.5444,1.5973,1.5303,1.4864
26,1.4067,0.9463,1.5322,1.3551,1.1084
27,1.3090,1.4593,1.5249,1.3864,1.3540
28,1.2079,0.9677,1.4692,1.2607,1.0836
29,1.1045,0.9879,1.4211,1.1789,1.0166
30,1.0000,0.7593,1.3549,1.0530,0.8365
31,0.8955,1.6364,1.3830,1.2280,1.3964
32,0.7921,0.7867,1.3234,1.0956,0.9696
33,0.6910,0.2679,1.2179,0.8473,0.4784
34,0.5933,0.9223,1.1883,0.8698,0.7891
35,0.5000,0.0117,1.0706,0.6124,0.2449
36,0.4122,0.4958,1.0131,0.5774,0.4205
37,0.3309,-0.4530,0.8665,0.2683,-0.1909
38,0.2569,-0.2744,0.7524,0.1055,-0.2494
39,0.1910,0.2697,0.7042,0.1547,0.1140
40,0.1340,0.4294,0.6767,0.2371,0.3348
41,0.0865,0.1550,0.6245,0.2125,0.2089
42,0.0489,0.0027,0.5623,0.1495,0.0646
43,0.0219,-0.0986,0.4962,0.0751,-0.0496
44,0.0055,-0.5859,0.3880,-0.1232,-0.4250
45,0.0000,-0.2879,0.3204,-0.1726,-0.3291
46,0.0055,-0.1788,0.2705,-0.1745,-0.2239
47,0.0219,0.4447,0.2879,0.0113,0.2441
48,0.0489,0.1864,0.2778,0.0638,0.2037
49,0.0865,-0.6188,0.1881,-0.1410,-0.3720
50,0.1340,0.2636,0.1957,-0.0196,0.0729
51,0.1910,0.0370,0.1798,-0.0026,0.0477
52,0.2569,-0.0139,0.1604,-0.0060,0.0046
53,0.3309,0.5755,0.2019,0.1685,0.4043
54,0.4122,0.8246,0.2642,0.3653,0.6985
55,0.5000,0.8725,0.3250,0.5175,0.8203
56,0.5933,0.2576,0.3183,0.4395,0.4264
57,0.6910,0.5673,0.3432,0.4778,0.5250
