k,true,obs,filtered
0,0.0000,0.2484,0.2856
1,0.3638,0.2946,0.2972
2,0.3328,0.6566,0.3101
3,0.0571,0.8186,0.3208
4,0.0237,-0.0934,0.3288
5,0.3827,0.2656,0.3424
6,0.7393,1.5289,0.3580
7,0.6988,1.0826,0.3635
8,0.4114,0.1767,0.3628
9,0.3641,0.6354,0.3649
10,0.7071,0.4754,0.3668
11,1.0457,0.8129,0.3691
12,0.9854,1.1063,0.3680
13,0.6763,-0.2803,0.3622
14,0.6057,-0.2568,0.3649
15,0.9239,0.6427,0.3765
16,1.2364,0.7300,0.3883
17,1.1487,1.3058,0.3973
18,0.8114,0.3573,0.3995
19,0.7116,0.0054,0.4042
20,1.0000,1.7328,0.4135
21,1.2822,1.1693,0.4122
22,1.1640,1.1978,0.4029
23,0.7960,0.0837,0.3879
24,0.6657,0.3935,0.3773
25,0.9239,0.9793,0.3685
26,1.1763,0.6008,0.3557
27,1.0290,1.2168,0.3406
28,0.6327,0.3324,0.3189
29,0.4751,0.3292,0.2976
30,0.7071,0.4063,0.2781
31,0.9348,1.8609,0.2567
32,0.7641,0.7574,0.2203
33,0.3462,-0.1827,0.1784
34,0.1687,0.5799,0.1398
35,0.3827,-0.2277,0.0990
36,0.5943,0.6988,0.0601
37,0.4098,-0.5701,0.0170
38,-0.0199,-0.6840,-0.0206
39,-0.2069,-0.1084,-0.0507
40,-0.0000,0.3692,-0.0803
41,0.2069,0.2925,-0.1154
42,0.0199,-0.0379,-0.1559
43,-0.4098,-0.5603,-0.1987
44,-0.5943,-1.3336,-0.2378
45,-0.3827,-0.7426,-0.2666
46,-0.1687,-0.3990,-0.2907
47,-0.3462,0.1824,-0.3156
48,-0.7641,-0.5923,-0.3471
49,-0.9348,-1.8163,-0.3770
50,-0.7071,-0.5451,-0.3947
51,-0.4751,-0.6676,-0.4110
52,-0.6327,-0.9711,-0.4266
53,-1.0290,-0.7231,-0.4388
54,-1.1763,-0.6608,-0.4498
55,-0.9239,-0.4582,-0.4614
56,-0.6657,-1.0853,-0.4746
57,-0.7960,-0.9506,-0.4844
58,-1.1640,-0.9984,-0.4910
59,-1.2822,-0.7945,-0.4948
60,-1.0000,-1.2396,-0.4970
61,-0.7116,-0.8044,-0.4944
62,-0.8114,-1.3645,-0.4897
63,-1.1487,-1.7468,-0.4774
64,-1.2364,-0.8301,-0.4539
65,-0.9239,-0.2458,-0.4282
66,-0.6057,-0.6417,-0.4060
67,-0.6763,-0.1745,-0.3849
68,-0.9854,-0.8045,-0.3671
69,-1.0457,-1.3683,-0.3464
70,-0.7071,-0.5264,-0.3167
71,-0.3641,0.4049,-0.2868
72,-0.4114,-0.4294,-0.2646
73,-0.6988,0.0835,-0.2445
74,-0.7393,-2.0492,-0.2257
75,-0.3827,0.0283,-0.1918
76,-0.0237,0.0198,-0.1585
77,-0.0571,-0.2066,-0.1285
78,-0.3328,-0.2869,-0.0987
79,-0.3638,-1.3576,-0.0656
80,-0.0000,-0.1098,-0.0200
81,0.3638,0.5423,0.0277
82,0.3328,1.0717,0.0689
83,0.0571,-0.2020,0.1006
84,0.0237,-0.3805,0.1350
85,0.3827,0.1318,0.1762
86,0.7393,1.1970,0.2181
87,0.6988,0.8632,0.2511
88,0.4114,0.1466,0.2784
89,0.3641,0.6208,0.3076
90,0.7071,0.7556,0.3355
91,1.0457,1.5300,0.3591
92,0.9854,0.6343,0.3728
