k,true_x,true_y,obs_x,obs_y,est_x,est_y,err_x,err_y
0,4.9083,2.9394,4.0014,2.0326,3.4795,1.7675,1.4287,1.1719
1,9.6517,5.8927,7.8568,4.0890,7.2869,3.7783,2.3648,2.1144
2,14.2541,9.0647,10.3315,10.2817,10.3371,8.8873,3.9171,0.1773
3,18.7316,12.5695,18.9931,7.0515,16.9296,8.9506,1.8020,3.6189
4,23.5393,16.1704,21.2130,15.0407,21.2632,13.2659,2.2761,2.9046
5,28.3860,19.6225,31.5717,14.8942,28.5823,15.4701,0.1962,4.1524
6,33.3361,23.0242,36.1962,23.6879,34.8301,20.5948,1.4940,2.4294
7,38.2501,26.7155,36.4660,30.8097,38.6905,26.6541,0.4405,0.0614
8,43.0040,30.6109,40.3823,32.9799,42.4920,31.3951,0.5119,0.7841
9,47.6676,34.5634,48.9505,38.3416,47.9024,36.4113,0.2348,1.8479
10,52.2725,38.4782,55.4194,43.7309,53.7043,41.6217,1.4318,3.1435
11,56.8313,42.2328,58.2310,48.1896,58.6133,46.6704,1.7820,4.4376
12,61.5622,45.6064,61.8994,44.4484,63.1233,49.0582,1.5610,3.4518
13,66.0938,49.1004,71.8177,47.0932,69.2156,51.3340,3.1218,2.2336
14,70.6486,52.8702,68.5969,54.8581,72.6575,55.0556,2.0089,2.1853
15,75.3819,56.6187,73.8632,50.9506,76.4531,56.5324,1.0712,0.0864
16,80.0152,60.2228,74.5334,58.5936,79.2206,59.5463,0.7946,0.6765
17,84.6672,63.8565,91.9723,64.5327,86.0161,63.3624,1.3489,0.4941
18,89.4084,67.6146,89.6417,77.1547,90.4598,69.7779,1.0514,2.1633
19,93.9988,71.4016,98.4249,74.3138,96.1160,73.8787,2.1172,2.4772
20,98.4414,75.2456,100.7143,83.7292,100.9134,79.5331,2.4720,4.2875
21,103.0240,79.1674,97.0183,79.4329,103.2526,82.5231,0.2287,3.3557
22,107.8891,82.9739,104.8556,81.7266,106.8728,85.1617,1.0163,2.1877
23,112.6843,86.9320,106.4586,87.6471,109.8131,88.5788,2.8713,1.6468
24,117.4449,91.0924,119.4664,92.2427,115.4919,92.2902,1.9530,1.1977
25,122.0874,95.0168,123.2224,92.2501,120.8103,94.9316,1.2771,0.0852
26,126.4898,98.8340,122.7148,101.8824,124.5670,99.4573,1.9228,0.6233
27,130.4209,102.7299,133.6047,110.0761,130.2893,105.1583,0.1316,2.4285
28,134.3814,106.8732,134.0827,108.1945,134.6617,108.9137,0.2804,2.0405
29,138.2646,110.8593,137.2396,121.3945,138.6557,115.3556,0.3911,4.4963
30,142.1001,114.9502,141.2346,117.7156,142.5810,119.1753,0.4809,4.2251
31,145.7745,119.2523,144.0452,122.5691,146.1196,123.2219,0.3451,3.9696
32,149.3002,123.5728,145.8770,124.1682,149.0654,126.5315,0.2348,2.9587
33,152.7923,128.1592,156.9869,132.2406,154.2080,131.0982,1.4157,2.9390
34,156.4437,132.9925,158.4385,147.9140,158.4226,138.9204,1.9789,5.9279
35,160.1612,137.7945,158.9402,140.7340,161.5683,142.8585,1.4071,5.0640
36,164.0102,142.5540,172.9748,135.3221,167.7230,143.9995,3.7128,1.4455
37,167.8435,147.4807,168.0925,143.3067,170.9538,146.6894,3.1103,0.7914
38,171.6914,152.5667,171.8679,150.0431,174.2022,150.3803,2.5108,2.1865
39,175.4040,157.5147,172.8409,160.8161,176.6813,156.0950,1.2773,1.4196
40,178.8069,162.3815,174.1582,161.0860,178.6386,160.4712,0.1683,1.9104
41,182.2980,167.3846,177.4146,170.9394,180.7520,166.4552,1.5460,0.9294
42,185.7997,172.3883,190.7065,169.6475,185.9232,170.5615,0.1234,1.8267
43,188.9588,177.1588,176.4054,173.1914,185.7176,174.4613,3.2412,2.6975
44,191.9476,182.0654,190.2433,182.5718,189.1042,179.8781,2.8434,2.1873
45,194.8591,187.1598,191.0577,188.9495,191.8052,185.7030,3.0539,1.4568
46,197.6850,192.4938,198.1247,195.0583,195.7277,191.7678,1.9574,0.7260
47,200.1996,198.1057,199.6117,200.3842,199.0653,197.7801,1.1343,0.3256
48,202.6932,203.7926,200.4106,207.0831,201.6981,204.1170,0.9951,0.3244
49,205.0538,209.5723,208.2020,212.0109,205.7543,210.1924,0.7005,0.6201
50,207.5080,215.4830,207.4271,215.9374,208.5380,215.7374,1.0299,0.2543
51,209.9264,221.5794,209.0833,225.8350,210.9427,222.5460,1.0163,0.9666
52,212.0913,227.6235,214.7325,226.4218,214.1916,227.7224,2.1003,0.0990
53,214.2290,233.5706,211.0601,241.6743,215.4728,235.7383,1.2438,2.1678
54,216.4017,239.6815,218.8189,242.1151,218.4053,241.8610,2.0035,2.1795
55,218.7658,246.1200,222.5424,245.5504,221.5857,247.2219,2.8200,1.1020
56,221.2141,252.6651,218.0297,253.6089,222.5964,253.2785,1.3824,0.6134
57,223.7744,259.2482,218.1660,253.7971,223.1328,257.6606,0.6416,1.5876
58,226.3424,265.8523,229.6641,265.2329,226.5852,263.8866,0.2428,1.9657
59,229.0120,272.7266,230.2618,269.5228,229.3652,269.6204,0.3532,3.1063
60,231.6258,279.4796,234.2987,277.9257,232.5510,276.1184,0.9251,3.3613
61,234.1461,286.1432,234.2410,288.0720,234.8874,283.7555,0.7414,2.3878
62,236.3696,292.6704,239.7481,293.3805,238.1058,290.9320,1.7363,1.7384
63,238.3928,299.1654,230.1670,297.1291,237.7168,297.2402,0.6760,1.9252
64,240.1978,305.5845,243.8787,303.3501,241.0223,303.5179,0.8246,2.0666
65,242.2811,311.9827,246.8490,310.1656,244.3704,309.9423,2.0893,2.0403
66,244.5639,318.2488,238.3887,315.9275,244.4373,316.1868,0.1266,2.0621
67,247.0368,324.4343,242.9019,323.8829,245.4905,322.9115,1.5462,1.5228
