k,true_x,true_y,kf_x,kf_y,ekf_x,ekf_y,kf_err,ekf_err
0,5.0000,0.0000,4.4674,0.3065,4.4713,0.3319,0.6145,0.6242
1,5.0309,0.4858,4.8022,0.7279,4.7874,0.8134,0.3331,0.4082
2,4.9577,0.9775,4.6475,0.8338,4.6375,0.8989,0.3419,0.3297
3,4.8387,1.5497,4.7869,1.4150,4.7564,1.4672,0.1443,0.1165
4,4.7444,1.8637,4.6560,1.9031,4.6142,1.9409,0.0968,0.1514
5,4.4789,2.3867,4.3751,2.2478,4.3259,2.2689,0.1733,0.1930
6,4.4143,2.8237,4.3527,2.8313,4.2910,2.8443,0.0621,0.1250
7,4.1165,3.2717,4.4070,3.1909,4.3312,3.2051,0.3015,0.2248
8,3.7685,3.6621,3.6624,3.6519,3.5787,3.6380,0.1066,0.1913
9,3.4425,3.9701,3.6135,3.9704,3.5197,3.9519,0.1710,0.0794
10,3.1212,4.1522,3.4253,4.4721,3.3182,4.4458,0.4414,0.3536
11,2.8205,4.5252,3.1199,4.8594,3.0005,4.8234,0.4487,0.3483
12,2.2687,4.7821,2.4635,5.4633,2.3313,5.4007,0.7085,0.6218
13,1.8724,4.9082,1.8671,5.3519,1.7390,5.2697,0.4438,0.3853
14,1.3622,5.2384,1.2707,5.6219,1.1463,5.5157,0.3943,0.3514
15,0.8209,5.4504,0.7488,5.5402,0.6334,5.4178,0.1151,0.1903
16,0.2997,5.6475,0.6703,5.8971,0.5391,5.7800,0.4469,0.2737
17,-0.1209,5.9498,0.4316,5.8574,0.3030,5.7363,0.5602,0.4747
18,-0.6100,6.0294,-0.4019,6.0651,-0.5179,5.9111,0.2111,0.1499
19,-1.1469,6.3093,-0.9967,6.5856,-1.1367,6.4129,0.3144,0.1040
20,-1.7193,6.3708,-1.3611,6.9253,-1.5346,6.7429,0.6602,0.4153
21,-2.3302,6.4359,-1.9600,6.5391,-2.1115,6.3323,0.3843,0.2420
22,-2.9933,6.3662,-2.7003,6.6459,-2.8465,6.4120,0.4051,0.1539
23,-3.6202,6.3554,-3.2028,6.3103,-3.3338,6.0606,0.4198,0.4111
24,-4.2669,6.2258,-3.9500,6.1331,-4.0629,5.8570,0.3302,0.4215
25,-4.8140,6.0949,-4.4978,6.3548,-4.6374,6.0594,0.4094,0.1802
26,-5.5278,5.8526,-5.0138,6.2646,-5.1600,5.9441,0.6587,0.3790
27,-6.1081,5.6355,-5.9056,5.9393,-6.0280,5.5708,0.3651,0.1030
28,-6.6173,5.3306,-6.4271,5.5255,-6.5353,5.1291,0.2724,0.2175
29,-7.1498,5.2401,-6.8570,5.4942,-6.9799,5.0825,0.3877,0.2317
30,-7.6884,4.7488,-7.3568,5.3447,-7.4791,4.9090,0.6820,0.2636
31,-8.1073,4.2511,-7.7340,5.0221,-7.8421,4.5685,0.8567,0.4136
32,-8.5053,4.0163,-8.6256,4.7515,-8.7124,4.2497,0.7450,0.3120
33,-8.9470,3.4737,-8.9061,4.0888,-8.9593,3.5596,0.6165,0.0869
34,-9.4892,2.9943,-9.3860,3.6218,-9.4133,3.0726,0.6359,0.1091
35,-9.9848,2.4103,-10.0678,2.9538,-10.0488,2.3673,0.5499,0.0771
36,-10.3367,1.9394,-10.3060,2.5479,-10.2790,1.9386,0.6093,0.0577
37,-10.6722,1.3868,-10.5602,2.4444,-10.5492,1.8250,1.0635,0.4551
38,-10.9593,0.7421,-10.8029,1.3486,-10.6993,0.7303,0.6263,0.2602
39,-11.3243,0.0670,-11.5775,0.7776,-11.4403,0.1218,0.7543,0.1283
40,-11.3894,-0.6218,-10.2780,26.4791,-11.6226,-0.6587,27.1237,0.2360
41,-11.7075,-1.2886,-1.2836,19.8518,-12.2486,-1.6491,23.5706,0.6502
42,-11.7769,-2.0286,11.8966,16.8370,-12.0752,-2.0528,30.2712,0.2993
43,-11.9126,-2.8804,16.3334,8.2887,-11.7725,-2.8116,30.3741,0.1561
44,-11.9875,-3.6482,18.2437,-1.2100,-11.8839,-3.2654,30.3293,0.3966
45,-12.0017,-4.3101,15.3940,-8.3568,-11.9512,-3.8667,27.6929,0.4463
46,-11.9147,-5.1864,11.2403,-13.3309,-12.1674,-5.1102,24.5456,0.2640
47,-11.8697,-5.9058,6.4700,-15.5389,-11.8395,-6.1847,20.7158,0.2805
48,-11.8361,-6.8556,1.7206,-16.6735,-11.8551,-6.8029,16.7385,0.0560
49,-11.6430,-7.7766,-1.7984,-16.6295,-11.8249,-7.9190,13.2398,0.2311
50,-11.5015,-8.5519,-4.5305,-15.5885,-11.4123,-8.5245,9.9050,0.0933
51,-11.1850,-9.2982,-6.8310,-14.5068,-11.2381,-8.9868,6.7887,0.3159
52,-10.9827,-10.1743,-7.9094,-14.1503,-10.8197,-10.3796,5.0253,0.2621
53,-10.5308,-10.5614,-8.5634,-13.2778,-10.1408,-10.8382,3.3540,0.4782
54,-9.9991,-11.2398,-9.2245,-12.7628,-9.7885,-11.3126,1.7086,0.2228
55,-9.5988,-11.9770,-9.6639,-12.5561,-9.5135,-11.8394,0.5827,0.1619
56,-8.8467,-12.8604,-9.8238,-12.7543,-9.1468,-12.5617,0.9829,0.4234
57,-8.3107,-13.4294,-9.6439,-13.1860,-8.5467,-13.3326,1.3552,0.2551
58,-7.7574,-14.0258,-9.4739,-13.4656,-8.0480,-13.8474,1.8056,0.3410
59,-7.0930,-14.7276,-8.8169,-14.1216,-7.1240,-14.5670,1.8273,0.1636
60,-6.5670,-15.3063,-8.6385,-14.6875,-6.7299,-15.2346,2.1620,0.1781
61,-5.8833,-15.8805,-7.8975,-15.4133,-5.8085,-15.9181,2.0676,0.0837
62,-5.1953,-16.4330,-7.0721,-15.7803,-4.8690,-16.2284,1.9870,0.3851
63,-4.1762,-16.8826,-6.2130,-16.3837,-3.9313,-16.7345,2.0970,0.2862
64,-3.1007,-17.2084,-5.7907,-16.6326,-3.4924,-16.9827,2.7510,0.4521
65,-2.0986,-17.6586,-4.7274,-17.0469,-2.4344,-17.2451,2.6989,0.5327
66,-1.2784,-17.9846,-3.9930,-17.7094,-1.6998,-17.8204,2.7285,0.4522
67,-0.3956,-18.3981,-3.3904,-18.3096,-1.0914,-18.3672,2.9962,0.6965
68,0.5175,-18.6419,-2.5655,-18.6781,-0.2707,-18.6439,3.0832,0.7882
69,1.6300,-18.8632,-1.3234,-18.9897,0.9488,-18.7902,2.9561,0.6850
70,2.6592,-19.0820,-0.2118,-19.2543,2.0284,-18.9273,2.8761,0.6495
71,3.7035,-19.1230,0.9085,-19.7597,3.1164,-19.3147,2.8666,0.6176
72,4.9800,-19.3802,1.9503,-20.1878,4.1424,-19.6447,3.1355,0.8783
73,6.0942,-19.4286,3.6589,-20.3741,5.8233,-19.6192,2.6124,0.3312
74,7.1333,-19.2725,4.4698,-19.9448,6.6245,-19.1153,2.7470,0.5325
75,8.3289,-19.1186,5.8410,-20.1789,7.9082,-19.2290,2.7044,0.4349
76,9.3629,-18.9774,6.9984,-20.2212,9.0148,-19.1737,2.6717,0.3996
77,10.4884,-18.7015,8.2395,-20.0636,10.1984,-18.8984,2.6292,0.3505
78,11.6797,-18.3971,9.6964,-19.9792,11.5832,-18.6797,2.5370,0.2987
79,12.8904,-17.9101,10.8272,-19.6657,12.6740,-18.2548,2.7090,0.4069
80,14.0836,-17.4633,11.9282,-19.2213,13.7142,-17.7048,2.7814,0.4413
81,15.2069,-16.8555,13.1747,-18.8485,14.8751,-17.2311,2.8464,0.5012
82,16.1875,-16.3396,14.8790,-18.0070,16.4464,-16.2042,2.1195,0.2922
83,17.3221,-15.5696,15.9966,-17.5495,17.5114,-15.6453,2.3827,0.2038
84,18.3681,-14.8694,17.1266,-17.0487,18.5732,-15.0522,2.5081,0.2748
85,19.3029,-14.0689,17.6009,-16.2274,19.0091,-14.1476,2.7488,0.3042
86,20.2062,-13.1567,18.4601,-15.3168,19.7400,-13.1807,2.7776,0.4668
87,21.1049,-12.1912,20.0179,-14.1384,21.0847,-11.9065,2.2301,0.2853
88,21.9195,-11.2254,21.0285,-13.3574,22.0028,-11.0502,2.3106,0.1941
89,22.8485,-10.1847,21.8092,-12.9782,22.7458,-10.6507,2.9806,0.4772
90,23.6394,-9.1062,22.8792,-11.7027,23.6569,-9.2771,2.7055,0.1718
91,24.4347,-7.7998,23.6236,-10.2253,24.2502,-7.6674,2.5576,0.2271
92,25.1812,-6.6288,24.5851,-9.2346,25.0944,-6.6217,2.6732,0.0871
93,25.8117,-5.4429,25.7143,-7.4940,26.0062,-4.7711,2.0533,0.6994
94,26.5173,-4.0328,26.4229,-6.3019,26.6009,-3.4641,2.2711,0.5748
95,27.1143,-2.6573,26.9260,-5.3285,27.0199,-2.4140,2.6778,0.2610
96,27.4912,-1.3220,27.6201,-4.2591,27.6026,-1.3112,2.9400,0.1120
97,27.7856,0.1173,28.0335,-3.0121,27.8809,-0.0016,3.1392,0.1523
98,28.1783,1.5325,28.5890,-1.4736,28.2530,1.5773,3.0340,0.0871
99,28.2589,3.2276,29.0337,-0.1262,28.5471,2.9792,3.4421,0.3805
