k,true_x,true_y,ekf_x,ekf_y,ukf_x,ukf_y,ekf_err,ukf_err
0,5.1111,2.9691,4.4964,2.3828,7.2564,3.8225,0.8495,2.3088
1,10.3533,6.8712,8.6603,5.1193,13.0929,8.2136,2.4363,3.0508
2,14.8777,10.6740,11.7132,10.5668,15.7143,15.6493,3.1664,5.0451
3,18.4070,14.8069,17.4385,11.7578,21.8588,15.9730,3.1992,3.6435
4,21.9778,19.5138,20.3108,17.2965,24.2868,22.1528,2.7741,3.5065
5,24.8924,24.9743,25.5485,21.0442,29.6371,26.4170,3.9845,4.9592
6,27.5723,29.5734,28.6803,27.5289,32.9519,33.8889,2.3255,6.8967
7,29.4716,34.7818,28.6543,35.4681,32.5614,42.2118,1.0673,8.0469
8,30.7152,39.6392,28.9745,41.4534,31.6754,48.1697,2.5142,8.5844
9,31.7616,45.0895,30.5555,46.9193,32.8196,54.5129,2.1917,9.4826
10,31.8612,50.2692,32.1570,53.1105,33.8729,60.9451,2.8566,10.8637
11,31.3864,55.4473,32.1976,59.7818,32.8996,66.9605,4.4098,11.6122
12,30.6063,60.5540,31.3435,62.9280,31.0223,68.8745,2.4858,8.3309
13,28.8912,64.9734,32.3784,66.1478,31.2610,70.8882,3.6797,6.3719
14,26.5425,69.6505,28.2195,71.5447,26.2226,75.4426,2.5299,5.8009
15,24.2252,74.5414,24.4906,72.9121,22.0062,76.3330,1.6507,2.8520
16,21.4294,78.9989,19.4765,77.0748,16.0274,80.2041,2.7416,5.5348
17,18.1494,82.9235,20.5940,82.3513,16.7773,85.2497,2.5106,2.7008
18,14.6499,86.8320,16.5114,90.4333,12.2010,93.9818,4.0540,7.5576
19,10.3185,90.5218,13.2337,93.8955,9.2082,97.5065,4.4587,7.0724
20,5.9234,93.3252,8.6997,98.9418,4.2152,102.7865,6.2653,9.6142
21,1.2179,95.5169,-0.4199,98.4221,-4.8934,102.1489,3.3351,9.0184
22,-3.6522,97.4628,-6.4284,98.3224,-11.1611,100.9413,2.9062,8.2754
23,-8.4407,98.9981,-12.7712,99.2996,-18.3076,101.0466,4.3410,10.0773
24,-13.4309,100.8727,-14.5953,101.1810,-20.6084,101.8803,1.2045,7.2479
25,-18.8196,101.9458,-18.3260,100.2851,-24.2923,100.7148,1.7325,5.6095
26,-24.0612,102.6610,-25.2889,102.9795,-30.9593,102.6936,1.2683,6.8982
27,-29.7579,102.7794,-29.0444,106.5771,-34.2067,105.8484,3.8641,5.4047
28,-35.5583,102.5282,-35.2360,105.3498,-40.0959,104.4636,2.8400,4.9332
29,-41.4158,101.9891,-42.0568,108.1986,-46.6034,107.2323,6.2425,7.3758
30,-47.1156,100.9277,-47.9274,105.5885,-52.7228,104.3536,4.7310,6.5710
31,-53.0007,99.6857,-53.8539,103.1749,-59.1282,101.7092,3.5920,6.4529
32,-59.0161,97.3678,-60.5999,99.1896,-66.0839,97.2074,2.4140,7.0697
33,-64.8452,94.6811,-63.3521,96.8342,-68.8621,94.6012,2.6202,4.0177
34,-70.7024,91.7065,-69.3872,99.6911,-73.8562,96.6674,8.0922,5.8785
35,-75.7700,88.8758,-75.6365,94.8210,-80.1450,90.8675,5.9466,4.8070
36,-80.6616,85.4786,-74.3125,84.9052,-80.5898,80.7047,6.3750,4.7745
37,-85.0532,81.4257,-79.1888,80.0076,-86.1813,73.7941,6.0334,7.7145
38,-89.5541,77.7774,-86.3910,75.5816,-91.2812,68.8984,3.8505,9.0454
39,-93.2613,73.8325,-94.4032,74.4765,-96.9741,67.2205,1.3109,7.5831
40,-97.7381,69.4404,-101.4596,69.7737,-103.0619,62.3292,3.7364,8.8832
41,-101.6682,64.7919,-106.9074,66.2746,-108.2438,59.6823,5.4450,8.3274
42,-104.2508,60.3196,-105.4342,57.0326,-107.1013,53.5091,3.4936,7.3830
43,-107.1628,55.4522,-112.6852,52.3206,-115.1898,46.9014,6.3485,11.7282
44,-110.0253,49.8947,-114.5517,47.7724,-115.9209,42.7151,4.9993,9.2901
45,-111.7132,43.7680,-116.0405,43.6518,-117.3271,38.2801,4.3288,7.8507
46,-112.9485,37.6884,-114.5027,38.9637,-116.0504,33.5379,2.0105,5.1815
47,-113.3787,31.2968,-113.7763,33.4383,-115.2225,27.8771,2.1781,3.8851
48,-113.1327,24.5631,-114.1184,27.6091,-114.8162,22.0325,3.2016,3.0394
49,-112.3898,17.7391,-111.2386,20.6143,-111.0984,15.2817,3.0970,2.7761
50,-111.1801,11.0879,-110.3989,12.4484,-109.2272,7.4818,1.5689,4.1010
51,-108.8151,4.6985,-109.0512,6.9229,-106.9880,2.0098,2.2369,3.2508
52,-105.9356,-1.2358,-104.9930,-0.9882,-102.1978,-5.9728,0.9746,6.0342
53,-102.3961,-7.1414,-103.2456,-3.2426,-100.1575,-8.6059,3.9903,2.6751
54,-98.6738,-12.8605,-98.0299,-9.3066,-94.3669,-14.7090,3.6118,4.6869
55,-94.0476,-17.9989,-92.6149,-16.2539,-87.7008,-21.5393,2.2578,7.2676
56,-89.2066,-22.7742,-90.2416,-22.1856,-84.5960,-26.5828,1.1907,5.9802
57,-83.6740,-27.3003,-88.1364,-30.3970,-81.2604,-34.1011,5.4316,7.2164
58,-78.1270,-31.2571,-79.2283,-32.6930,-72.4838,-37.3331,1.8096,8.2924
59,-72.0600,-34.5918,-71.3123,-36.2282,-65.2253,-41.0332,1.7992,9.3918
60,-65.6476,-36.9290,-63.5150,-38.2665,-57.3841,-42.5553,2.5174,9.9970
61,-59.1315,-39.0046,-56.1924,-39.7453,-51.2370,-41.8483,3.0310,8.3911
62,-52.1738,-40.5179,-48.4230,-40.8204,-43.1905,-41.7804,3.7630,9.0716
63,-44.4526,-42.0625,-47.3041,-43.6968,-40.5610,-43.3233,3.2867,4.0908
64,-37.4927,-42.9444,-37.9357,-44.7369,-30.6528,-44.1798,1.8464,6.9506
65,-30.4371,-42.7578,-28.3902,-44.1520,-21.2330,-43.7522,2.4766,9.2577
66,-23.8883,-41.3892,-24.7547,-44.2243,-18.1966,-42.5857,2.9645,5.8161
67,-17.0882,-39.4855,-18.4103,-42.7374,-13.1066,-39.6123,3.5104,3.9836
68,-10.5360,-36.8008,-13.7099,-36.1620,-8.6193,-33.4154,3.2376,3.8903
69,-4.0035,-34.1367,-3.0681,-33.1294,1.5442,-30.0459,1.3746,6.8928
70,3.0154,-30.3798,4.4019,-26.7427,9.5329,-23.5363,3.8924,9.4505
71,9.0122,-26.1314,8.3046,-26.7838,13.2214,-23.7477,0.9625,4.8373
72,15.0541,-21.7859,18.4829,-24.9998,22.6698,-20.6186,4.6995,7.7047
73,20.7573,-17.1224,18.8532,-16.6617,23.5420,-14.2074,1.9590,4.0314
74,26.2424,-11.8328,24.9645,-13.5572,28.5353,-9.4546,2.1464,3.3035
75,31.6580,-6.2443,30.1944,-8.5501,33.4347,-3.4683,2.7310,3.2959
76,36.3963,-0.5715,38.5763,-3.1552,42.5021,4.4761,3.3805,7.9220
77,40.3913,5.4746,41.8204,5.5069,46.6431,13.3866,1.4295,10.0839
78,43.9063,11.6071,41.4968,15.4643,45.8030,22.3734,4.5479,10.9321
79,47.3343,17.5684,49.8170,18.5435,54.4025,29.8850,2.6673,14.2006
