k,true_x,true_y,true_vx,true_vy,est_x,est_y,est_vx,est_vy,error
0,3.1571,2.4563,1.2048,0.9816,7.7407,5.9235,1.6130,0.5261,5.7473
1,4.2879,3.9373,1.4475,0.8332,8.5752,8.0394,0.5105,1.7606,5.9337
2,5.5888,4.6232,1.5240,0.2281,9.8362,7.2347,1.4188,0.4387,4.9861
3,6.9350,4.5310,1.6234,-0.0590,10.3196,6.1501,1.3776,0.1027,3.7519
4,9.0219,4.4006,1.6447,-0.5096,11.1543,5.3641,1.3843,-0.1435,2.3400
5,10.7017,3.5271,1.7636,-0.6995,11.7411,4.0504,1.3183,-0.4131,1.1637
6,12.2750,3.4133,1.7593,-1.0340,14.7947,4.5508,1.5969,-0.2497,2.7646
7,13.6482,2.4454,1.1396,-1.4540,17.1099,3.7854,1.7208,-0.5049,3.7120
8,15.0213,1.0456,1.1030,-1.5492,13.3996,0.8197,1.2903,-0.9419,1.6374
9,15.8967,-0.6492,1.4373,-1.4405,11.6589,-1.0656,1.0886,-1.1081,4.2582
10,17.4365,-2.2116,1.2232,-1.2471,15.4567,-1.6990,1.4291,-0.9200,2.0450
11,18.9542,-3.7241,1.1255,-1.1424,17.2146,-2.5920,1.4993,-0.9085,2.0755
12,19.9281,-4.9251,0.7756,-1.5206,19.4059,-3.8505,1.5769,-1.0336,1.1947
13,21.1326,-6.4685,1.0929,-1.4063,20.2470,-5.8070,1.3941,-1.3957,1.1054
14,22.3398,-7.3884,1.0816,-0.9115,18.3621,-7.6955,0.9098,-1.7509,3.9896
15,23.6814,-8.2724,0.9871,-0.8825,20.2632,-9.6420,1.0300,-1.7370,3.6823
16,24.5990,-9.0419,1.4544,-1.0464,23.8864,-11.1215,1.3592,-1.5509,2.1983
17,25.8947,-9.7988,1.5584,-1.2139,25.3965,-11.1180,1.4694,-1.1115,1.4102
18,27.4838,-10.7064,1.3364,-1.3175,26.4972,-11.5626,1.5034,-0.9169,1.3063
19,28.3574,-11.9302,1.4189,-1.3159,28.0070,-12.3193,1.5605,-0.8847,0.5235
20,29.3287,-13.3791,1.3105,-1.5696,29.9641,-13.5992,1.5806,-0.9567,0.6725
21,30.7670,-14.3522,1.3658,-1.4881,31.9102,-14.8513,1.6023,-1.0332,1.2473
22,31.5260,-15.8488,1.3848,-0.7092,34.1266,-16.8257,1.5975,-1.2192,2.7781
23,33.0061,-16.5689,1.0152,-0.3478,36.7253,-17.7525,1.7852,-1.0673,3.9030
24,34.2715,-17.2043,1.4588,-0.7911,39.1224,-18.7173,1.8630,-0.9996,5.0814
25,36.4230,-18.3087,1.2798,-0.7596,41.0702,-20.6440,1.8407,-1.1974,5.2009
26,37.2124,-19.0466,0.9438,-0.6098,42.3297,-22.5939,1.7196,-1.4442,6.2266
27,38.6464,-19.9041,0.8420,-0.3526,43.1274,-24.4236,1.5905,-1.6056,6.3644
28,39.5603,-19.8433,0.3336,-0.2942,48.2196,-26.0864,2.0378,-1.4118,10.6752
29,40.1412,-20.5286,-0.0839,-0.1291,51.2103,-26.9441,2.1709,-1.1958,12.7939
30,40.1365,-20.5482,-0.2990,-0.0557,54.0976,-27.8171,2.2388,-1.0558,15.7401
31,39.6116,-20.0139,-0.1491,-0.4324,56.5762,-28.1205,2.3055,-0.9036,18.8020
32,39.1543,-20.1974,0.2173,-0.6919,58.9884,-28.3933,2.3774,-0.7726,21.4608
33,39.5021,-20.6294,0.8171,-0.7695,63.8193,-32.3623,2.2934,-1.1939,26.9998
34,40.0378,-21.6569,0.7927,-0.6617,66.6227,-34.1023,2.2812,-1.2646,29.3538
35,41.0921,-22.3145,1.2523,-0.7453,69.2444,-32.6609,2.4709,-0.7614,29.9933
36,42.5423,-23.3309,0.9137,-0.5928,72.9798,-36.0411,2.4331,-1.1370,32.9847
37,43.6818,-23.7740,0.8907,-0.8606,73.9104,-38.9831,2.2260,-1.5554,33.8391
38,44.4313,-24.3637,0.9584,-1.2545,76.2254,-40.7605,2.2015,-1.5966,35.7732
39,45.5115,-25.8977,1.0070,-1.2361,75.7525,-42.5907,1.9571,-1.8716,34.5423
40,46.6316,-26.9565,1.3495,-0.9028,73.6627,-43.9161,1.6307,-2.1279,31.9110
41,47.6845,-27.6964,1.5119,-0.7400,88.6120,-47.3210,2.6669,-1.4156,45.3892
42,49.3770,-28.0773,1.8136,-0.5340,90.1568,-49.0845,2.6227,-1.5203,45.8726
43,51.4306,-28.8557,1.7387,-0.6875,93.5049,-51.0897,2.6757,-1.5479,47.5878
44,53.9013,-30.1336,1.9558,-1.1975,95.8977,-53.4836,2.6129,-1.6800,48.0512
45,56.2014,-31.3107,1.6149,-1.4237,101.5078,-55.4747,2.8141,-1.5752,51.3475
46,57.5854,-32.6659,1.6294,-1.6297,106.4107,-54.9477,3.0765,-1.2060,53.6692
47,59.4152,-34.9361,1.6883,-1.8390,110.3313,-57.1632,3.0375,-1.3184,55.5562
48,60.8529,-36.8113,1.8480,-1.5652,110.6453,-61.2830,2.7331,-1.8391,55.4810
49,62.5951,-38.5267,1.6414,-1.0069,112.6821,-63.5958,2.6615,-1.9469,56.0104
50,63.8378,-39.2434,2.3125,-0.6804,107.2294,-64.1756,2.2810,-2.2566,50.0444
51,65.9972,-39.5232,2.0887,-0.5401,113.8791,-67.7319,2.4885,-2.1871,55.5734
